Source	GeneSetID	GeneSetName	GeneList	n_Genes
NeST	Cluster2-166	Cluster2-166	AMY1A AMY2A CEL CELA2A CELA2B CELA3A CELA3B CLPS CLPSL1 CPA1 CPA2 CPB1 CTRB1 CTRB2 CTRC GP2 PNLIP PNLIPRP1 PNLIPRP2 PRSS1 PRSS3 RBPJL REG1A REG1B SYCN	25
NeST	Cluster2-167	Cluster2-167	AIDA ANKS1A C1orf123 CAMLG CKMT1B EGFR ERI3 FER HGF IGFBP2 LRIG1 LTK MET PGRMC2 SH2D3A SHC2 SHC4 SLC12A4 SLC12A6 SLC12A7 TMED8 TNS3 TNS4 TPP2 UROD	25
NeST	Cluster2-168	Cluster2-168	ATP2A3 C9orf64 DHRS7 DPY19L4 FZD9 FZD10 GHDC GPC4 ITFG1 KDM4A LAMB2 LRFN3 MGLL PBDC1 PHACTR4 PTPN9 PTS SLC9A6 SUMF1 TMEM9B TSTD3 WNT7A WTIP YIPF2 ZNF865	25
NeST	Cluster2-169	Cluster2-169	CLOCK LMTK2 PPP1R11 PPP1R13L PPP2R1A SHOC2 SMARCB1 TNF TPRN ZFYVE16	10
NeST	Cluster2-17	Cluster2-17	ACO2 AIFM1 ATP5G3 C1QBP COA3 DARS2 DDX28 EARS2 ETFDH GFM1 GHITM GTPBP10 IMMT LARS2 MALSU1 MARS2 MCAT MDH2 MRPL36 MT-CYB MTG2 NARS2 NDUFAF5 NDUFC1 NSUN4 QRSL1 RCC1L TARS2 TFAM TFB2M UQCC3 VARS2	32
NeST	Cluster2-170	Cluster2-170	ICE1 ICE2 MED26 MLLT6 MLLT10 TNF	6
NeST	Cluster2-171	Cluster2-171	BEGAIN CDR2L DIRAS1 FAM13C HID1 RPS19 SPTBN2	7
NeST	Cluster2-172	Cluster2-172	AAMDC ANKH APH1B ARMC5 ASNSD1 C1GALT1 C2orf68 C3orf62 C4orf33 C4orf48 C11orf95 C12orf75 C16orf72 C19orf44 C22orf39 CAMTA2 CCDC85C CCL5 CERK DGKH ENDOV FAM174A FAM212B GPR137	24
NeST	Cluster2-173	Cluster2-173	ACAA1 ACOX1 C6orf226 CAT DDO DECR2 HSD17B4 PEX5L PEX6 PEX16 PEX26 PSMB1 SLC25A17	13
NeST	Cluster2-174	Cluster2-174	ASAH1 B3GLCT CTSA CTSD CTSE GBA GLA GLB1 GM2A GNS GRN GUSB HEXA HEXB LGMN LIPA MAN2B1 MANBA NAGLU PLBD2 PSAP SGSH SIAE TPP1	24
NeST	Cluster2-175	Cluster2-175	ABHD1 ABHD4 ADPGK ANKFY1 ASIC3 AVL9 C17orf75 CASC4 CASD1 CDS2 CFTR CSPG5 EFCAB14 FAM91A1 FAM168A FKBP11 GOPC GPR107 GRAMD3 KIF13B PTPN9 RHOD TMEM33 WDR11	24
NeST	Cluster2-176	Cluster2-176	ANXA9 EFCAB6 LRRC47 NAXE PARK7 PDZD11 RPS4X SLC18A2	8
NeST	Cluster2-177	Cluster2-177	CD2BP2 CDC5L SF3B4 SNRNP70	4
NeST	Cluster2-178	Cluster2-178	AMDHD2 CEMP1 HCFC1R1 PDPK1 TBC1D24 THUMPD1 UBFD1	7
NeST	Cluster2-179	Cluster2-179	ARID4A CHD4 DAXX DNMT1 E2F1 HDAC1 HDAC2 HNRNPD HSPA8 KDM5A MIER1 MTA2 NONO PARK7 PARP1 PPP1CA PPP1CC PPP1R9B RB1 RBBP7 SUV39H1 TPRN YLPM1	23
NeST	Cluster2-180	Cluster2-180	KCNS1 LPIN2 LRRC8B LZTR1 METRNL NADK NR1H4 PCMTD1 PGBD2 PPP1R1B PRR15L R3HDM4 SETDB2 SLC16A5 SLC16A6 SLC22A18AS SLC38A7 SLC43A2 SOBP THAP8 TMEM254 TMUB2 ZFP3	23
NeST	Cluster2-181	Cluster2-181	AJAP1 AMY1B APOA5 ART5 BFSP1 C1orf168 C2orf15 C4orf22 CNIH3 COLCA2 CXCL17 DIRAS3 ENHO FAM133A FBN3 GPR62 GPR85 GSC HHIP PRDM8 REP15 RIPPLY1 RNF151	23
NeST	Cluster2-182	Cluster2-182	MBLAC2 MSANTD4 NPAS1 PIGW PRKD3 PROSER1 SRRD ZBTB39 ZSCAN5A ZSCAN29	10
NeST	Cluster2-183	Cluster2-183	DUSP10 FGF11 FGF12 HDAC9 MAP3K1 MAP3K2 MAP3K10 MAP3K11 MAPK8IP2 MAPK8IP3 MAPK10 RALA RALB USP33 ZNF521	15
NeST	Cluster2-184	Cluster2-184	DDX23 SF3A1 SF3A2 SF3B2 SNW1	5
NeST	Cluster2-185	Cluster2-185	AKAP13 KSR1 PRKACG	3
NeST	Cluster2-186	Cluster2-186	ATF2 CREB1 CREBBP CSNK2A1 DAXX EP300 HDAC1 HMGA1 HMGA2 NCOA6 NPM1 NR3C1 PARP1 PML PPARG PSIP1 RB1 SYNCRIP TERT TGS1 USP7 XRCC6	22
NeST	Cluster2-187	Cluster2-187	ACBD6 ACRV1 ALKBH6 ATG2B CMC2 HDAC10 HIST1H2AH HIST1H2AI HIST1H2BH HIST1H3F HIST1H4A HIST1H4K PABPC3 PPP1R14B PUSL1 QPCTL QTRT1 QTRT2 RCCD1 TEX30 ZNF428 ZNF726	22
NeST	Cluster2-188	Cluster2-188	BHLHB9 CRB2 FAM189A2 IER5 KCNG1 KLLN LRRC17 MSC NOG NTNG2 PIEZO1 PSMA8 PTGDR PTGDS R3HDM4 RALGPS2 SCYL3 SLFN13 TAS2R20 TREM1 TRIM45 TXNRD3	22
NeST	Cluster2-189	Cluster2-189	ABCD4 ADAM19 ADORA1 ANKH ANKRD33B ANKRD61 APCS ASXL3 ATP10A BTBD16 CATSPERG COL21A1 CRTAC1 DIO3 DIRAS2 FAM169A FAM229B FBN3 FRMPD4 GOLGA8N GPX2 MMRN1	22
NeST	Cluster2-19	Cluster2-19	BTN2A1 BTN2A2 C2CD2 C3orf58 CCL1 CD70 CLEC2B CNNM2 CNNM4 DAPP1 DEXI FAM129C FAM177B GPR141 IFITM2 IL4 ITGA9 ITM2A JCHAIN KCTD12 KLRC4 LPAR6 LTB MANSC1 MZB1 NINJ2 P2RY11 PLA2G4C PLAC9 PLEKHA4 PLSCR4 POU2AF1 RGS13 RUBCNL SCARA3 SGCB SLC38A2 SLFN5 SLFN12L SPIB SPNS3 STK17B TESPA1 TLL1 TMEM47 TNFAIP8 TNFRSF13B TNFRSF13C TNFRSF17 TTYH2 UCP2 VNN1 VNN2 VNN3 ZNF80	55
NeST	Cluster2-190	Cluster2-190	ARSA ARSB CERCAM CHID1 CHPF CHPF2 CHST10 GALNS GALNT18 GUSB IL17RA MEGF8 MOXD1 NAGLU PAM PLTP PLXNA1 PLXNA3 SEMA4F SGSH SIAE SUMF2	22
NeST	Cluster2-191	Cluster2-191	APC2 CELSR1 CELSR2 CELSR3 FAT4 FREM2 FUZ FZD1 FZD2 FZD3 FZD5 FZD6 FZD7 FZD8 FZD9 FZD10 INTU NUMBL PRICKLE1 PRICKLE3 RSG1 VANGL1	22
NeST	Cluster2-192	Cluster2-192	HMOX2 ITPR2 KLHDC10 MTM1 MTMR12 PITPNB TBCC TM7SF3	8
NeST	Cluster2-193	Cluster2-193	AK3 ANXA4 AVP BLVRA BNIP2 CLDN23 CXorf38 CYB5RL DTD2 EBLN2 ERMP1 F8A1 FAM50B FAM156B FAM198B FITM2 GVQW1 KIAA1462 MTCP1 PLGRKT PRRG1 SASH1	22
NeST	Cluster2-194	Cluster2-194	ATXN3 CCNA2 CHEK2 COPS5 CREBBP CTNNB1 EP300 HDAC2 HDAC3 HOXB7 KAT2B KAT6A KMT2A NCOA1 PYGO2 SKP2 SYMPK TCF3 TCF4 TP53 TWIST1	21
NeST	Cluster2-195	Cluster2-195	AR CARM1 COPS2 CREBBP E2F1 EP300 HDAC2 HDAC3 HIST1H3A LCOR MDM2 NCOA1 NCOA2 NCOA3 PSME3 RELA SMAD2 SMARCE1 THRB TP53BP1 TSG101	21
NeST	Cluster2-196	Cluster2-196	GUCA1B HIST1H2AB HIST1H2AI HIST1H4A HIST1H4K IMMP1L IMMP2L KIF27 LRP5L MAMDC4 ME3 MUM1 NIPSNAP3B POMGNT1 POTEM PPP1R3E PRR22 RSPO2 SLC25A45 SYCE1L TMEM116	21
NeST	Cluster2-197	Cluster2-197	ARMC3 ASXL3 ATP6V0A4 B3GNT4 BARX2 C22orf31 CADM4 CCDC178 COL28A1 EGFL6 FAM84A FAM184A FMN2 FRMPD4 HS3ST2 KREMEN1 NOX5 PAQR7 PRR15 SFRP5 SORCS3	21
NeST	Cluster2-199	Cluster2-199	FBXO45 HEY1 HEY2 HEYL NINL PAWR SPRYD3 THAP1	8
NeST	Cluster2-200	Cluster2-200	COPS5 MAP3K14 MTOR RNF31 SQSTM1 TBK1 TNF TRAF1	8
NeST	Cluster2-201	Cluster2-201	ADCK5 CYHR1 DGAT1 MROH1 PYCRL TMEM249	6
NeST	Cluster2-202	Cluster2-202	BID CASP1 CYCS DAXX MAP2K4 MAPK1 MAPK8 PSME3 SIRT1 XIAP	10
NeST	Cluster2-203	Cluster2-203	GNG8 HIST1H2AI HIST1H2AJ HIST1H4A HIST1H4K KHDRBS2 KISS1R LZTS3 MAP3K7CL MIXL1 MUC20 MUM1 NEUROD2 NUDT17 POTEM PRRX2 RSPO2 TBX6 VWA2 ZNF534	20
NeST	Cluster2-204	Cluster2-204	B3GALT1 C2orf70 C10orf82 C17orf47 CAV3 FOXE3 IL17B IL17C KIAA1257 KY LRRC24 LY6G5C MFSD14B PTGES3L PXYLP1 ROPN1B SLC44A5 SNPH STPG3 TMEM74	20
NeST	Cluster2-205	Cluster2-205	CDH10 DPP10 FOXG1 GRID2 IRS4 LGI1 MAGEE2 NFE4 NTNG1 PDC RNF182 SP7 SYT7 UPP2 USP17L2 USP53 WDTC1 ZBTB43 ZBTB46 ZMIZ2	20
L1000	BRD-A00546892_-666_MCF7_6.0_h_10.0_um	BRD-A00546892_-666_MCF7_6.0_h_10.0_um	CITED2 COL5A1 CRABP2 KCTD12 MDFIC MMP2 NRP1 ORC1 PEG10 RCBTB2 S100A8 TMEM45A TWIST1 VIM CLU COCH CST3 DNAJB1 FAM46A LMO2 MAOB NRN1 SLC27A2 ZBTB20	24
L1000	BRD-A00993607_ALPRENOLOL_MCF7_6.0_h_10.0_um	BRD-A00993607_ALPRENOLOL_MCF7_6.0_h_10.0_um	1060P11.3 ADM AHR AMIGO2 ARL4C ATP10D CAV2 CD44 CDC42EP3 CHST1 COLEC12 DENND1B EMP1 EXT1 FAM129A FZD6 GLIPR1 IER5 IGF2BP3 KLRB1 LPAR6 NT5E PLIN2 PLXNA1 POSTN PPP1R3C QPCT SLC5A3 SPON2 TMEM158 TNFSF10 TRIB2 AGR2 CCL19 COMP CRK CXCL13 FAM46A GOLGA8A GRN GSTM3 HPRT1 MYO5C NGFRAP1 PLA2G16 SERPINA3 SLC5A6	47
L1000	BRD-A00993607_Alprenolol hydrochloride_MCF7_6.0_h_10.0_um	BRD-A00993607_Alprenolol hydrochloride_MCF7_6.0_h_10.0_um	ABAT ASS1 CHI3L1 CHST2 CLDN3 EIF5B FRZB GAL HEBP2 MAN2A1 NELL2 PDE8B TBC1D1 TRD TRDV3 TYMP VAMP8 1060P11.3 AKR1B1 ARMCX1 ATF1 CAPN3 CAV1 CAV2 CNN3 CSTA DKK1 DLD EIF4A1 EPB41L2 FADS1 G3BP1 HLA-DPA1 HPRT1 LGALS3BP LHFP LYPLA1 MARCKS MN1 MTUS1 MYH10 NRIP1 OPN3 PIK3R1 PLLP POLR2K PTGER4 RBBP4 RDX THBS1 TMEM255A TNS1 TNS3 TOP2A TRAM1 TSPYL5 UFM1 WFDC2 WSB1	59
L1000	BRD-A01320529_Salmeterol_MCF7_6.0_h_10.0_um	BRD-A01320529_Salmeterol_MCF7_6.0_h_10.0_um	AMIGO2 AREG GAS6 GPR37 IFT57 PELI1 SQLE AKAP12 EXOSC4	9
L1000	BRD-A01346607_FLUMETHASONE_MCF7_6.0_h_10.0_um	BRD-A01346607_FLUMETHASONE_MCF7_6.0_h_10.0_um	1060P11.3 CPE EFNB2 HIST1H2AC IL1R2 INHBB LYPD1 NUP93 SOX9 AKAP12 ALCAM CDH3 CTSH GDF15 SUMO2	15
L1000	BRD-A01593789_CHLORMADINONE ACETATE_MCF7_6.0_h_10.0_um	BRD-A01593789_CHLORMADINONE ACETATE_MCF7_6.0_h_10.0_um	1060P11.3 ADH5 ADM ATF3 CASP1 CLEC2B CPA3 CRIM1 DKK3 FEZ1 MECOM MKNK1 NXN PCK1 RGCC S100A8 SPON1 SST TMEM41B CYP1B1 DNAJC12 ETFB FOLR1 GPX3 IGFBP4 MAN1C1 OXA1L PIK3R1 RAD23B RARRES1 RNF167 SORD SPDEF TACSTD2 TBC1D4 TFF1 TNC TSPYL5	38
L1000	BRD-A02006392_NITRENDIPINE_MCF7_6.0_h_10.0_um	BRD-A02006392_NITRENDIPINE_MCF7_6.0_h_10.0_um	1060P11.3 ADAM17 AKAP12 ALCAM AMFR BIK CASP2 CCL18 CD58 CLU CPT1A CST3 CTNNB1 CXCL8 DDX3Y EIF1AY EIF2S3 EIF5A FOSL1 FTH1 GLUL GNL3L GPX3 GUSBP3 HMGCS1 HNRNPH1 HNRNPL KLF4 MAFF MAPK13 MTCL1 NPIPB3 NUTF2 PHLDA2 PPP3R1 RPS4Y1 S100A6 SAT1 SEC22B SEL1L3 SET SMA4 SRSF6 STRN3 STT3A TFF3 TLR4 TMEM176B TNFAIP6 TP53 TSPAN8 ZNF451 ZNF652 ARNT2 BTG3 CDKN2A CYP1B1 DPP4 GABRP GPM6B GPR116 H2AFV HEBP1 HSPA1A ID1 IGHM MMP7 PLA2G4A PLEKHM1 RAI14 SERPINA5 SHB SNX7 TFPI2 VTCN1 ZNF395	76
L1000	BRD-A02176148_TUBAIC ACID_MCF7_6.0_h_10.0_um	BRD-A02176148_TUBAIC ACID_MCF7_6.0_h_10.0_um	CASP1 CAST CD52 CLC COL1A2 COL3A1 COL5A2 CPA3 DKK3 DPYSL3 FN1 GJA1 GPNMB GULP1 IDO1 LPAR6 LUM MEG3 MKNK1 MOSPD1 MSN MUC16 PAEP PAPSS2 PLCB3 SPON1 FABP5 FERMT2 HK2 NRN1 PTGES TCN1 THAP11 UGCG	34
L1000	BRD-A02367930_ETHINYL ESTRADIOL_MCF7_6.0_h_10.0_um	BRD-A02367930_ETHINYL ESTRADIOL_MCF7_6.0_h_10.0_um	1060P11.3 ADM CD44 CD9 CHGB CHST1 CYP4B1 FRZB GSTA1 IGL LEF1 LPAR6 PLEKHM1 POSTN SCGB1D2 SCGB2A1 SELENBP1 VEGFA VTCN1 ALDH1A3 ANXA3 APOD CCL18 FOLR1 HOPX KIAA0125 KRT7 LXN RBPMS RPS27L SELL STOM TFPI	33
L1000	BRD-A02710418_Meptazinol hydrochloride_MCF7_6.0_h_10.0_um	BRD-A02710418_Meptazinol hydrochloride_MCF7_6.0_h_10.0_um	1060P11.3 CLEC2B CPB1 GREM1 HIST1H1C IGJ KRT81 LUM MEIS2 MUC16 S100A9 SULF1 TCF4 TRPS1 ZNF217 CSRP2 CYBA GPX3 GSTM3 IFI44L IGF2BP3 RNF167 SRPX TFF3	24
L1000	BRD-A02759312_Betaxolol hydrochloride_MCF7_6.0_h_10.0_um	BRD-A02759312_Betaxolol hydrochloride_MCF7_6.0_h_10.0_um	1060P11.3 CDSN CYB5A EGLN3 FCER1A HIST1H2BG HSD17B2 MUC5B NFATC3 PDZK1IP1 PI3 PLBD1 SLC30A1 SRD5A1 TFF3 TUBB2A WNT5A ADH1B ARHGDIB ARL4C ARMCX1 C3 CCT2 CD52 CNN3 DEPTOR DNAJB4 EFEMP1 EPB41L2 ETS2 EVI2A G3BP1 GPNMB GULP1 HCLS1 IGFBP7 IPO13 ITM2A KIAA1033 LPAR1 LPXN LUM MET MPZL1 PDP1 PEG10 RAD21 SGCE SGK1 SLC16A7 SPARC TFPI2 TIMP2	53
L1000	BRD-A04553218_DEXCHLORPHENIRAMINE MALEATE_MCF7_6.0_h_10.0_um	BRD-A04553218_DEXCHLORPHENIRAMINE MALEATE_MCF7_6.0_h_10.0_um	ADH1B AMIGO2 AUTS2 CAMK2N1 ENPP2 FGFR3 MAN1A1 SNAI2 CA12 CXCL8 FAM134B LTBP3 LXN UCHL1	14
L1000	BRD-A04756508_NORGESTIMATE_MCF7_6.0_h_10.0_um	BRD-A04756508_NORGESTIMATE_MCF7_6.0_h_10.0_um	1060P11.3 ACTN1 AMIGO2 ANKRD10 ATP11B C1QA C1QB CAMK2N1 CXCL13 DDIT4 DEPTOR EXT1 FBLN1 FBN1 GBP1 HERPUD1 HLA-C HLA-F HOMER3 HOXB6 HSPA6 IDO1 IGHM IGJ IGKV1-5 IGKV4-1 IGL IGLJ3 IGLV2-23 IL32 ITGA4 ITGA6 LIMCH1 PDGFRA SFTPA2 SFTPB SRD5A1 TMEM176B TPD52 TRIM2 VEGFA WARS WDR7 XIST ABAT BEX1 EIF5A FABP5 HP MARCKSL1 NFIB NUTF2 PEG3 RPA3 RPL27A RPS11 SLIRP TCN1 TGFBI TM4SF1 TMSB15A TPPP3 YWHAE	63
L1000	BRD-A05186015_BUPROPION_MCF7_6.0_h_10.0_um	BRD-A05186015_BUPROPION_MCF7_6.0_h_10.0_um	1060P11.3 CD55 CXCL9 HEPH SLC27A3 SLC5A6 TCF7L2 TIPARP NDRG2 SEL1L3	10
L1000	BRD-A05565054_(2-ethylpiperidin-1-yl)(4-(hydroxydiphenylmethyl)-1H-1,2,3-triazol-1-yl)methanone_MCF7_6.0_h_10.0_um	BRD-A05565054_(2-ethylpiperidin-1-yl)(4-(hydroxydiphenylmethyl)-1H-1,2,3-triazol-1-yl)methanone_MCF7_6.0_h_10.0_um	ABCG1 ABLIM1 ADM ANO1 AQP9 C10ORF10 CAV1 CAV2 CD24 CPA3 CREG1 CSRP1 DDIT4 EMP1 FABP7 FAM107A FAM129A FGFR4 FHL1 GALNT6 GLUL GPC3 HIST1H1C HK2 IL1R2 LPL MET MTSS1 MUC5B MYC PCOLCE2 PEG10 POSTN RHOB S100A8 SERPINE1 SLC39A8 SLPI SYNM TFAP2A TPD52 TSC22D3 1060P11.3 ADI1 ANKRD10 ENPP2 ESR1 FASTKD5 FBXO21 GSTZ1 GULP1 HOXC6 IGF1 IRF8 LAMP5 MIR22HG NEFH NPY PEG3 PRSS2 RHOBTB3 SFN SPINK1 TBC1D9B TCFL5 TFPI2 TUBB2A WT1	68
L1000	BRD-A06352418_TERFENADINE_MCF7_6.0_h_10.0_um	BRD-A06352418_TERFENADINE_MCF7_6.0_h_10.0_um	1060P11.3 ACLY CDH2 CDKN1C CLU CST3 CXCL12 CXCL5 CYP1B1 CYP51A1 DDIT4 DHCR24 DHCR7 DUSP4 ELOVL5 FADS1 FAM117A FAM129A FCER1A FDFT1 FOXJ3 GATM GSTA4 HERPUD1 HMGCR HMGCS1 HTATIP2 IDI1 INSIG1 KLRB1 LDLR LSM5 MAF ME1 MSMO1 PDGFC PHLDA1 PIR PPT1 RASA4 SC5D SCD SDC2 SLC27A2 SLC7A11 SLC9A3R1 SQLE TGFBI TKT TOB1 WBP5 ALDH5A1 C1ORF116 CD9 CIAPIN1 CSGALNACT1 ID3 ID4 KIAA1033 LMO3 SCGB2A1 SLC2A5 SLPI SPARC SRGN UBR7 YBX3	67
L1000	BRD-A06390036_HYDROQUINIDINE_MCF7_6.0_h_10.0_um	BRD-A06390036_HYDROQUINIDINE_MCF7_6.0_h_10.0_um	AKR1C2 AKR1C3 DLK1 ENPP2 IARS2 MKNK1 MSLN MUC4 SPON1 TIMP1 TPD52 CMAHP CRISP3 MGP PHLDA1	15
L1000	BRD-A07932845_Methiothepin maleate_MCF7_6.0_h_10.0_um	BRD-A07932845_Methiothepin maleate_MCF7_6.0_h_10.0_um	ATF3 CAST CHI3L1 CTSZ CXCL14 FDPS GALNT6 GPR37 HMGCS1 IER5 IFI27 IFNAR1 IL4R INSIG1 KCTD12 KRT14 KRT16 KRT6A KRT6B LDLR MARCKS MSMO1 NRIP1 NT5E PCK1 PSMD10 RGS5 RPL37A RPS4Y1 S100A2 SPRR1A SPRR1B SQLE 1060P11.3 ACPP ADH1B AGR2 ALDH1A1 ANK3 ATP2C1 CD27 COCH CRISP3 CRK CXCL12 CYP4B1 EGFL6 EPCAM FOSL1 GHR IGHM IGKV4-1 LCN2 LGR5 LIMCH1 LTF NKG7 OLFM4 PFKFB3 PHLDA1 PIK3R1 PLAC8 PMP22 POU2AF1 RAB31 RARRES1 RTN1 SERPINA3 SFTPA2 SFTPB SFTPD TCL1A TCN1 UCHL1	74
L1000	BRD-A08003242_RHODOMYRTOXIN B_MCF7_6.0_h_10.0_um	BRD-A08003242_RHODOMYRTOXIN B_MCF7_6.0_h_10.0_um	1060P11.3 ACKR1 ASNS ATP6V1D AXIN1 BCL6 BEX1 BHLHE40 CCNG2 CHRDL1 DDIT4 DUSP4 DUSP5 ENAH FABP4 FAM129A FASN FLNA FOXO3 G6PD GPR126 GPR64 INSIG1 JUND KDM3A KDM4B LDLR LPP MT1X MTA1 MYC NAMPT NFIL3 PHLDA1 PIP5K1B PLCB1 PROM1 PRR7 RHOB RND3 RRAGD S100A14 SCD SERPINA3 SERPINB2 SFRP1 STC2 TIPARP TRIB3 TSC22D3 TUBB2B UGDH ZFP36L1 ADIRF ATF5 C8ORF33 CASP6 CCNE2 CDC25A COL10A1 COL11A1 CPS1 DKK3 DNAJA1 EFNB2 HNRNPA0 HSPA1A MAF MNDA NID2 SESN1 SFPQ SKP2 TIMM22	74
L1000	BRD-A08187463_-666_MCF7_6.0_h_10.0_um	BRD-A08187463_-666_MCF7_6.0_h_10.0_um	1060P11.3 EIF1AY ID1 KAL1 KRT19 KRT7 PDGFRA RPS4Y1 TFF1 USP9Y ITGA6 KDM6A MTUS1 NID1 RAD21 RBP4 SRC XIST	18
L1000	BRD-A08187463_Racecadotril_MCF7_6.0_h_10.0_um	BRD-A08187463_Racecadotril_MCF7_6.0_h_10.0_um	1060P11.3 ANPEP ANXA11 BPHL C6ORF62 CAP2 CHN1 CLC CLEC5A CPA3 CST1 DPP4 ELANE ENC1 FAM129A FGFR3 GRIA2 GYPC HLA-B IFNAR1 KLF9 LCN2 LEF1 MMP9 MX1 NCALD NRGN PDGFRA PIK3CA PLAT PLSCR1 PLXNA2 POLR1C PRG2 QPCT RFTN1 RGCC RHOBTB3 S100A9 SLC1A3 SLC26A2 SPON1 TRAPPC6A TYRP1 VCAN ABCB6 ACACB ADIRF AKR1B1 AKR1C1 AKR1C2 AKR1C3 AKR7A2 C1QB C3ORF14 CAV1 CCND1 CDKN1C CLU COTL1 CPS1 CXCL12 CXCL13 CXCL9 DKK1 EFNB2 FKBP1B FLNB GAL GOLGA8H GPR126 GPX3 GRWD1 IGKV1-5 KIAA0485 KRT7 MAP1B NR2F2 PAN2 QDPR RHOB SNX7 SPINT2 STOM TES TFAP2B TFF1 TGM2 TIMP3 TMEM45A TMEM47 UCHL1 WSB1	93
L1000	BRD-A09056319_-666_MCF7_6.0_h_10.0_um	BRD-A09056319_-666_MCF7_6.0_h_10.0_um	CHEK1 DAB2 EGLN3 MFAP5 MXRA5 PDCD4 PLEKHM1 PTPRE S100A10 SLC38A1 SPTSSA SULF1 ZFP36L2 ADRB2 AKR1B1 CHGB CRISP3 CYBA ENC1 HLA-DMB HOMER2 NME4 OAS1 RARRES1 SORD STX1A UGCG	27
L1000	BRD-A09056319_Alfuzosin hydrochloride_MCF7_6.0_h_10.0_um	BRD-A09056319_Alfuzosin hydrochloride_MCF7_6.0_h_10.0_um	1060P11.3 AGR2 AUTS2 CA12 COL9A2 HLA-DOB HOXB6 LDOC1 LRMP PAWR PLCB3 SLC7A8 TFF1 TFF3 TGFBI WNT5A ACSL3 ANXA1 ANXA7 ARHGDIB ATF1 AZIN1 BEX4 C1ORF115 C3 CNN3 COX7A1 CPB1 CSTA CXCL12 DAB2 DNAJB1 EFEMP1 EMP1 ERG FHL1 G3BP1 GULP1 HPRT1 IGFBP7 KCTD12 KRT19 LAMB1 LIMCH1 LUM LXN LYPLA1 MAFF MGP MXRA5 MYBPC1 NAMPT NFIB NPY1R NRIP1 PAK1IP1 POLR2K PTGER4 SGCE SGK1 SMC1A SPARC TACSTD2 TM4SF1 TNS3 ZNF185	66
L1000	BRD-A09533288_Verapamil hydrochloride_MCF7_6.0_h_10.0_um	BRD-A09533288_Verapamil hydrochloride_MCF7_6.0_h_10.0_um	AKAP12 ANXA3 CDKN1C CYFIP2 CYP1B1 DDX3Y DLD EIF1AY FAR2 FOLR1 GMDS HN1 KYNU NAT1 NNT PMP22 PPM1H PSD3 RARRES1 RPS4Y1 S100A11 SLC27A2 SRSF6 STK39 1060P11.3 AQP1 CAV1 CD44 CHI3L1 COL15A1 COL1A2 CPE DPYSL3 EPS8 GJA1 HBB IFI16 KIAA1462 LMO3 LPAR6 MFAP5 MUC16 NTS PBX1 PDIA3 PELI1 RNASE1 SOX11 TMEM30B TNS1 XIST	51
L1000	BRD-A09539288_HOMATROPINE BROMIDE_MCF7_6.0_h_10.0_um	BRD-A09539288_HOMATROPINE BROMIDE_MCF7_6.0_h_10.0_um	1060P11.3 BEX1 CD44 CDC42EP3 CHI3L1 EXT1 IGFBP5 LYN PARM1 QPCT S100A6 SCGB1D2 SEMA5A TCTA TM4SF1 TNFRSF21 TNFSF10 VCAN WNT5A XIST XYLT1 ADH1B AK4 BACE2 BST2 DDX3Y FOLR1 GAS1 IGHM IGKV1-5 IGKV3-20 IGL IGLJ3 MAGEA3 MBP MSRB2 SEPP1 SORBS1 TGFBR2 TOB1	40
L1000	BRD-A10662413_Prenylamine lactate_MCF7_6.0_h_10.0_um	BRD-A10662413_Prenylamine lactate_MCF7_6.0_h_10.0_um	1060P11.3 ALB ATF3 BCL11A BTG2 CD200 CD9 CFI CHI3L1 CHN1 CHN2 COL11A1 COL4A5 ENC1 FHOD3 FILIP1L FN1 GADD45A GAGE3 GLS HLA-DQA1 HS2ST1 IGFBP7 IL1R1 LEF1 LOC100505650 MAN1A1 MMP1 MMP7 NCALD NFKB2 NT5E NUSAP1 OBSL1 PAWR PEA15 PEG10 PLCB1 POLR1C POSTN PROM1 PSMF1 PTGS2 QPCT RGS16 RNF128 RNF43 SLC1A3 SMYD2 SPON1 SULF1 TGFBI THBS2 TNFRSF11B TPD52L1 TRIM2 VEGFA AK1 AKR1B10 AQP3 BST2 C1QA CA12 CD24 CDC42SE1 CPS1 CRYAB CTSW CXCL13 CXCL14 DKK1 DLD EDF1 F2RL1 FABP5 GRWD1 HN1 IMPA2 ITGAE ITM2A LGALS3BP LSM7 NTS PLAC8 PLTP PNMA1 PRDX2 RHOD RPL36 RPL37A S100A11 SKP1 SLPI STOM TES TFF1 TFPI VWF ZMYM2	99
L1000	BRD-A10715913_-666_MCF7_6.0_h_10.0_um	BRD-A10715913_-666_MCF7_6.0_h_10.0_um	1060P11.3 AZGP1 CD40 CD58 DMXL2 FGL2 GOLM1 IGJ IGLV2-23 LXN MBNL1 PRAME SRGN TFF1 CYP4B1 FAR2 FCGBP FLRT3 GRN IFI27 JUN RGS1 SLC39A8 SRC YTHDF1	25
L1000	BRD-A11135865_nor-Binaltorphimine dihydrochloride_MCF7_6.0_h_10.0_um	BRD-A11135865_nor-Binaltorphimine dihydrochloride_MCF7_6.0_h_10.0_um	AEBP1 ALDH1A1 CTGF GABRP IGFBP4 MTCL1 PGC SCGB1A1 TCF4 WEE1 1060P11.3 CCNE2 CD200 CDKN1B CPE CRABP2 CSRP2 MAN1A1 MFSD12 RGS5 RPS5 SNX7	22
