,GO,Genes,Gene_Count,Term_Description
1987,GO:0070915,LPAR3 LPAR6 LPAR1 LPAR4,4,lysophosphatidic acid receptor activity
1988,GO:0070643,CYP3A4 CYP24A1 CYP27A1 CYP2R1,4,vitamin D 25-hydroxylase activity
1989,GO:0015057,F2RL3 F2R F2RL1 F2RL2 GP1BA,5,thrombin-activated receptor activity
1990,GO:0008270,POLE AIRE SLC39A4 TRIM16 CNBP ARIH1 UBR4 GCM1 ADH1B CA12 TRIM71 ITGB1BP2 PGLYRP2 SLC30A8 MMP8 ZNF330 AARS1 SF3A2 CPE NR1H2 FBXL19 AGBL3 ZEB1 TADA2A ZNF830 RNF146 ZNF214 PARP1 MMP3 AFG3L2 ZCCHC9 SNCA APOBEC1 ZCCHC8 CPB2 TRIM62 MATR3 GATA3 ZMIZ2 PGLYRP1 ZFPL1 GTF2B MMP21 TRIM66 MT1F PRICKLE2 BLM MARCHF1 SETDB2 CPZ ZNF622 MMP27 MARCHF4 ADAM30 LVRN C11orf54 TRIM37 RTL4 GTF2H2 CHD3 HNF4A NR1I3 HDAC6 ZFAND2B PGLYRP3 RAG2 TNP2 CHD4 HRG EARS2 RABGGTB PITRM1 LANCL1 PNMA3 HLTF ZNF331 ZNFX1 TRIM35 ADH1C RBM20 SUV39H2 RNF216 RNF151 RNF19A USP22 USP5 RNF11 GATAD2B BMP1 ZNF185 ADAMTS1 SIAH1 ZCCHC24 TIMP2 ZMYND11 ZFYVE1 CHURC1-FNTB TRIM64 TRIM24 BMI1 CPA5 SEC24C CHORDC1 KDM2B HERC2 TRIM41 MT2A RNF217 KAT6A UHRF1 ZMYND8 LTA4H TRIM33 BRAP SKI ADAT2 TRPS1 ZC3HC1 RBSN MMP13 NFXL1 ZNF3 ZNF90 TRIM11 MNAT1 ESRRA NR2F6 TRIM38 TAB2 TRIM65 CPA1 NEIL2 TRIM21 BAZ1B TRIM52 APOBEC3A KLF7 TADA2B TET3 AGBL5 GATAD1 ZCWPW2 CA3 ZFR SIRT4 ZSWIM4 ATP13A2 NR5A1 RNPEPL1 PTGR3 UTRN PLA2G15 TIMM10 TRAF2 CA9 SMPDL3A ZFAND3 KDM5C CA7 ZSWIM8 MMP9 ZSWIM7 MAP3K1 PIAS4 TCEA3 ZNF212 ADAMTS2 MT1B TUT4 SORD DBF4B CA1 ZZZ3 ADAM33 ZNF276 PRM2 CIZ1 CRIP1 AICDA ZMYM6 PIAS3 NSMCE2 CPXM1 ESCO1 ASTL NR1D1 RNF125 ZNF593 TRIP4 NR1H4 ZSWIM2 RNF7 RNF24 TUT7 ADH5 TRIM34 D2HGDH NANOS1 CYLD TRIM31 TRIM39 TIMM8B PDZRN3 ZDBF2 RIGI ADAMTS20 CPXM2 AGBL1 TRIM61 CDA TRIM74 WDFY1 NR2E3 MTR NR1H3 MMP28 TIMM9 CPM ACE2 MMP2 PEX12 ESR1 ESR2 LCN1 MDM2 ZCCHC3 CSRP1 MARCHF11 RPS29 ADAMTS8 ADAMDEC1 ADA2 GRIN2A IKZF5 MMP1 CAD MT1H ZACN SEC24A NR2C1 CA2 ZNF92 PIKFYVE TRIM43B PTGR2 USP44 SETDB1 MT1X EGR1 CALB1 NT5E CA4 CPSF4 CXXC5 PRKCB DTX2 GLO1 CBLB USP51 ZCCHC17 RASSF1 NPEPPS DNAJC21 LIG3 PRICKLE4 TRIM15 RBBP6 VAT1 ERV3-1-ZNF117 ZFPM2 TRIM54 TRIM4 KDM1B CDIP1 TMEM276 ZSWIM5 USP13 PRICKLE1 ZNF385D PEG10 APOBEC3A_B PIAS1 XAF1 ZFTRAF1 MMP15 RNPEP PLSCR1 MORC3 TRIM7 CD4 ZDHHC20 RCHY1 ZCCHC2 ECE1 ZSWIM3 TRIM46 MMP7 CPA2 DUSP12 ADAMTS15 TRIM10 MIB2 ZNF2 MBTD1 MORC1 RNF14 ZCCHC4 LMCD1 ZCCHC12 MMP20 ZNF91 GTF2H2C APIP KLF4 BLVRA TRIM2 TRIM13 AEBP1 PDE2A HNF4G FBXO30 RASGRP1 HHIP USP3 PPARG PRKN SOD1 SLFN13 DPF3 TRIM9 MARCHF7 ZSWIM6 SIRT5 DYTN LIMS1 TRIM45 ERI2 ZNF318 ALPP MARCHF9 ZCCHC7 SIAH2 ACMSD APEX2 MT3 ADAMTS5 TRIM51 AR ZMYM2 ZFP37 MMP26 TRIM8 DNLZ CDO1 PHF5A TRIM64C POLR3K ZNF84 NBR1 TRIM49 POLR2L ZNF146 ZFAND6 MME TAB3 IDE DMD ANAPC11 SEC23A ERAP1 ARHGEF2 USP16 UBR7 DTNA CA6 DRP2 ADAMTS4 BHMT2 MMP17 TIMP1 CALR MYT1 S100A9 RXRG CRIP2 RORC MORC4 ACR PHC3 TRIM72 ZFHX2 GDA SRSF7 HDAC10 UBA5 PIAS2 TRIM36 LIN28A DPEP1 MSRB1 LNPEP ENPEP APOBEC3H TRIM43 PTER KDM2A UPF1 CPA3 RAG1 THRA KDM4A MT1E SF3A3 FBXO43 PGGT1B GTF2H2C_2 DTX4 RNF144B SPG7 PRIM1 TTF2 NR1D2 LITAF AGTPBP1 PHEX NUDT12 KMT2B MIB1 P2RX4 PRICKLE3 RARG ZNF638 TRIM48 NEIL3 MSRB3 DNMT1 MMP16 ZMAT4 TK1 TRIM22 ALKBH8 NR3C1 RNF207 PAPPA POLR2I CLIP1 LIN28B ENPP3 KAT7 DNAJC24 FNTB EPRS1 SAMHD1 MARCHF10 MID1 TET2 PAM GATA1 RBM4B SEMG2 ADH7 TRAF7 POLR2K NR3C2 ADH4 IKZF4 NR5A2 SIRT2 ZGLP1 NANOS3 AGBL4 TRIM40 TRIM23 ADAMTS3 SMPDL3B CXXC1 APOBEC4 PTPN1 NR2F2 DNPEP ADAM8 NR2C2 RNF145 ZNF184 TRIM49D1 TRIM14 SMPD1 TNKS MT1G S100A13 ESRRG RABGEF1 CREBBP ZMYM5 ENPP5 RPH3A NR2E1 TET1 RARA TRAF3 RNF139 EHMT1 RNF167 ANPEP RC3H1 NR4A2 VAT1L CPA4 USP33 MMP23B TRIM60 RNF112 APOBEC3F OTUD7B TMEM276-ZFTRAF1 ADAMTS13 RPS27 PEX2 ISCU TRIM5 TRIML2 DBF4 NAPEPLD ZIM2 MSRB2 TCEA2 ZNF346 SETMAR ALAD MARCHF5 CA5A NAALADL1 SEMG1 IGHMBP2 TRIM49D2 PGR TRIM56 ZMYM4 PHC1 MARCHF3 SCAPER ZNF282 CBLC RNF26 PHF8 ZNF208 TARS1 L3MBTL3 ADA MMP10 TES CZIB KMT2A PRDM2 MMP14 SIRT6 MARCHF2 GLRA1 GATA6 KDM4C TRHDE RNF5 NR4A3 ZFAND5 KPNB1 RXRB SNRPC SREK1IP1 CPB1 ERAP2 RABGGTA ZNF407 USP49 OTUD7A MMP11 EP300 S100A6 TRIM26 ZMYM3 UBR3 MYRIP CDADC1 USP45 CA13 TRIM58 ZCCHC14 L3MBTL4 RNF4 ZCWPW1 SLU7 KDM7A RTL3 RBX1 ACER3 RXRA MDM4 PHF2 CA8 CA5B PPARD RARB MARCHF8 NFX1 TRIM63 DCTD EEA1 TRIM29 PGLYRP4 TCEA1 DHH CA14 TRIM47 USP39 CPD SEC24D MYT1L NR1I2 ZFHX3 COMMD3-BMI1 TNFSF10 KNG1 ZNF195 TRIM27 TRIM50 DTX1 TRIM73 MMP19 ZNF385A SAP30L ZMIZ1 GRIN2B S100A8 RORA EHMT2 ADH1A ARIH2 TRIM32 RBM4 TRAF6 AARS2 ENPP7 ZNF93 GATA5 CA10 TRAF1 ADH6 ASAH2 ZMAT2 ZFAND2A CHURC1 SIRT3 FBXO40 ZRANB3 GATA2 MMP12 RNF8 NEIL1 TRIM17 POLA1 THRB PRIMPOL PDXK WBP4 S100B TRIM49B UPB1 SF1 TLL2 MT1M CUL9 TOP3A POLR1H TRIM49C GALT TRIM28 ZNF8 MMP25 ZMAT1 RGN TRIM42 TRAF5 ARK2C DHX58 DPYS MARCHF6 APOBEC3G GATA4 PAPPA2 HIF1AN L3MBTL1 GCH1 TLL1 SMAD3 SQSTM1 ST18 SHH RTN4IP1 APOBEC3C ZFHX4 CPA6 ZCCHC13 QPCT MEP1B ESRRB NQO2 RNF31 MID2 ZNF675 AKAP8 UBR1 SUV39H1 MBD1 ALPI ZFAND4 USP20 TRIT1 BIRC2 SEC23B ZMAT3 TRIM77 S100A12 AGBL2 RNF41 ZKSCAN5 AOC1 HDAC4 RNF2 PHF14 NSD1 ADAMTS9 ZNF117 MORC2 DTNB NANOS2 QPCTL PEX10 ZNF22 NUDT3 ZFAND1 RNF144A ZZEF1 TRIM59 RNF19B BBOX1 ZCRB1 AOPEP ZGRF1 TRIM3 TNFAIP3 PML ZNF205 L3MBTL2 LACTB2 ZFR2 CA11 CLPX PPARA MEFV ZNF385B BRCA1 TRIM6 IFIH1 ZDHHC15 PRKCG FBXO11 KCMF1 MPI ANKIB1 TMEM163 NR6A1 CTCF KDM5A GLI2 DPP3 CHMP1A TRIM68 THAP11 TRIM55 ZNF75D ZPR1 NR4A1 TRAF4 ZSWIM1 THAP1 RABIF PRKCA CPO UBR2 ZMYM1 TIMM13 VDR ZBTB32 TRIM64B ACE UBR5 CPN1 SEC24B TRIM67 MYCBP2 MT1A TRIM44 S100A7 TP53 KDM5B MMP24 S100A5 MEP1A ZMAT5 SUPT4H1 WT1 ZCCHC10 NR2F1 BHMT CRYZ ENPP2 ENPP1 LTN1 RBAK APOBEC3B PHC2,820,zinc ion binding
1991,GO:0030305,HPSE2 HPSE,2,heparanase activity
1992,GO:0042835,CELF4 CELF1,2,BRE binding
1993,GO:0052744,MTMR8 PTEN MTMR4 MTMR3 MTMR14 MTMR6 SYNJ2 MTM1 MTMR7 MTMR1 SACM1L SYNJ1 INPP5F MTMR2,14,phosphatidylinositol monophosphate phosphatase activity
1994,GO:0001786,SMPD3 SYT17 SYT12 CD300LF SCARB1 TREM2 GRAMD1B ADGRB1 SYTL2 ANXA3 GSDMA OSBPL10 GAP43 HMGB1 HAVCR1 SYT3 OSBPL8 SCARB2 TLN1 FCHO2 ANXA5 ANXA10 TRIM72 SYT7 ANXA11 GAS6 PLEKHN1 SYT15 OSBPL5 RPE65 ANXA2 SESTD1 ANXA9 CPNE1 GSDMC ANXA8 ANXA13 ANXA1 ASAP1 SYT4 SYT6 SYT9 JPH2 SYT11 SYT13 MARK1 CD300A SCIN APPL2 ANXA8L1 SYT10 SYT5 ANXA6 THBS1 CPNE6 GSDMD MFGE8 APPL1 RS1 CAVIN2 MME SYT1 SYT2 ANXA4 TIMD4 ANXA7 AXL GSDMB SYT8,69,phosphatidylserine binding
1995,GO:0004828,SARS2 SARS1,2,serine-tRNA ligase activity
1996,GO:0015631,VASH2 ALMS1 STRBP CETN2 CCDC181 KIF1B TUBGCP4 TBCB TTLL6 CDK5RAP2 SPMIP6 PPP1R42 EML3 CRYAB KRIT1 SNCA GAPDH DNAL1 ENKD1 KIF12 GIT1 FAM83D VAPA KIF2C RGS14 HDAC6 SPC24 EMD KIF22 KATNB1 KIFC1 RPS3 SKA2 GABARAPL2 RMDN3 JAKMIP1 GABARAPL1 TBCA NEFH PHF6 IRAG2 HAUS8 CEP57 REEP2 UXT TTLL5 STIM1 DRG1 KIF21A STMND1 TTLL11 SUN2 NEIL2 CEP57L1 TTLL12 MDM1 ARL4C MAPRE2 RMDN2 MAP4K4 AGBL5 STARD9 MAST2 BEX4 PEX14 HTT MAP10 REEP4 MTUS1 LRRC61 PAFAH1B1 VBP1 DYNC1I1 MAP9 CACYBP EFHC1 SPEF1 CLIP2 RAD51D TBCE DST RAB11FIP5 GAS8 LRPPRC REEP3 FEZ1 HAUS4 KIF5A APC2 KIF26A KIF18B EML4 PACRG NDC80 KIF3A LYN CLIP4 KATNBL1 SKA3 KIF23 B9D2 PRNP AGBL1 SPACA9 FNTA MAP1A DCLK2 FAM161A FTCD MARK4 SVBP STMN1 HOOK1 KIF4A TBCC JAKMIP2 KIF14 BCL2L11 KIF15 CAPN6 PLK1 GJA1 NIN PSRC1 TUBGCP6 MAPRE3 TRIM54 PRC1 CAMSAP3 CIMAP3 KIF3C TOGARAM2 KIF3B RP1 KIF24 KIF1C SGIP1 CEP44 CENPE APPL1 JMY STMN3 TPGS1 KIF6 CCDC170 ARL3 SKA1 TERF1 NDRG1 STMN4 PDCD5 PRKN MAPT CKAP5 MAP6D1 NCALD POLB SPAG6 DIAPH3 NISCH KIF4B FHDC1 PDE4B KATNAL2 VPS41 ARL8B ARHGEF2 GOLGA2 S100A9 MAP1S FAM110C TRIM36 NLRP5 FBXW11 KIF18A ABRAXAS1 TRPV4 FMN1 GJB6 TTBK2 SSNA1 CGN DAG1 AGTPBP1 CEP135 ARL8A CRIPT VAPB RACGAP1 KIF9 KIF13B CAMSAP2 PAK1 KIF2A IFT74 SYT11 CLIP1 CEP295NL MID1 MTCL1 HAUS7 DLGAP5 MAP1LC3A DNM2 RCC2 UNC5C MAPRE1 DDX3X LRRK2 WIPF3 KIF26B SPAST AGBL4 KIF25 DCDC1 RAE1 RGS2 GTSE1 GPAA1 MAP6 MACO1 SPATA4 CCDC69 CETN3 CHP1 NDE1 KNSTRN INO80 TUBGCP2 CCT5 KIF2B TAOK1 KIF13A BLOC1S2 NUF2 CAMSAP1 TRAPPC14 BCAS3 TUBGCP3 KIF20A NDN APC GLI1 MTUS2 CEP295 NEDD1 DIXDC1 MAP4 KIF19 FSD1 KIF16B KIF5C NUSAP1 CEP350 JAKMIP3 MAP2 HOOK2 BBS4 MX2 CCDC88C OGG1 KIF11 KIFC3 DLEC1 DNM1L SAXO1 TIAM1 CAV3 HDGFL3 TPPP OPA1 TPPP2 FMR1 MAST1 ADNP DIP2B CENPF KIF7 HAUS6 SLC6A2 RMDN1 CEP70 MX1 TTLL4 WHAMM KIF17 TRAF3IP1 CCDC187 KIF27 OFD1 ZNF207 DNAI7 SMC3 GAS2L2 CCDC66 MACF1 TTLL2 S100A8 STMN2 KATNAL1 WASHC1 TPR GAS2L1 TTLL7 REEP1 CFAP157 MAP1B CEP290 EML1 GAS2L3 TPPP3 KIF1A CFAP144 PRUNE1 CDK5R1 NEFM ALDOA KIF20B SPAG8 BIRC5 FGF13 BRCA2 CCSER2 MAP1LC3B CLASP1 MAP1LC3B2 EZR SPAG5 KLC3 NDEL1 FYN CLASP2 DCX KIFC2 MID2 EML2 TBCD EML5 KIF5B HOOK3 CDK5 EML6 GAS2 HSPH1 CENPJ BRSK1 TOGARAM1 IFT81 CETN1 BRCA1 TTLL9 CLIP3 SETD2 ARHGEF7 SAXO2 CCDC61 MAP7D3 CCSAP DCTN1 RABGAP1 NAV3 CCDC88A DNM1 DNM3 RITA1 TTLL1 CCDC88B C10orf90 SBDS KIF21B FES NUMA1 ABRAXAS2 WASL TUBGCP5 KATNA1 NME8 RAB11A GABARAP ATF5 TBCEL,381,tubulin binding
1997,GO:0016857,DSE RPEL1 GALE GNE FUOM RPE RENBP GALM DSEL GLCE GFUS,11,"racemase and epimerase activity, acting on carbohydrates and derivatives"
1998,GO:0004382,ENTPD8 ENTPD6 ENTPD5 ENTPD2 ENTPD7 ENTPD4 ENTPD3 ENTPD1 GBP1 CANT1,10,GDP phosphatase activity
1999,GO:0004175,PRSS48 CARD18 CARD16 PREPL UQCRC2 MMP8 F7 CASP3 PRSS33 NLN MMP3 AFG3L2 CTSC USP7 CTSS DDI1 ADAM23 ZMPSTE24 PRSS27 PROZ LONP1 MMP21 MMP27 ADAM30 THOP1 PRSS37 KLK7 CPS1 HTRA2 PSMB5 PITRM1 CASP6 ELANE TYSND1 ADAM29 CAPNS1 USP5 PSMB11 BMP1 ADAMTS1 BLMH PMPCB KLK2 CELA2A CLPP KLK4 USP10 CASP1 MMP13 MASP2 PSEN1 JMJD7 PGA4 SENP7 CTRL CASP4 ADAM2 PLAU SENP6 TPSAB1 PSEN2 ECEL1 ATG4B SENP1 USP6 PRSS56 ADAMTS12 ATG4C MMP9 SPPL2A KLK3 PRSS8 F2 CLC ADAMTS2 TMPRSS9 CELA3B CORIN PGC ADAM33 GZMH DPP4 CAPN3 ASTL SPRTN CTRB1 PSMB7 ESPL1 ADAMTSL2 F10 RHBDD2 ADGRG6 HP PSMB6 PGA3 SEC11C CFD KLK10 ADAMTS20 RHBDF2 KLK12 PROC TMEM59 MST1 MMP28 ADAMTS10 PRSS54 ACE2 MMP2 REN KEL YBEY ADAMTS8 ADAMDEC1 PSMA6 MMP1 CAPN14 TRABD2B PRSS53 USP37 PRSS57 ADAMTS19 CAPN6 CASP12 AZU1 ATP23 NRIP2 NCSTN CTSB USP13 MMP15 CAPN9 CASP5 MIPEP ECE1 USP15 MMP7 ADAMTS15 CAPN2 PRSS12 PRSS2 TRABD2A CAPN1 CASP14 MMP20 EEF1AKMT4-ECE2 C2 TMPRSS3 BACE1 RHBDL3 KLK6 RHBDL2 CTSK CTSZ CTSD USP2 CAPNS2 CASP7 ST14 CTSE CAPN7 ADAMTS5 KLK15 MMP26 LTF RHBDL1 MME IDE ERAP1 USP16 UCHL1 PLG TMPRSS11F ADAMTS4 CMA1 MMP17 HPR PLAT ACR ADAM12 TPP1 CAPN15 FAP CELA2B NRIP3 HGF TPSD1 SEC11A ADAMTS18 MMEL1 MASP1 F3 SPG7 HPN ADAMTS7 C1RL CTSL PHEX PRSS1 CAPN13 CTSF CLCA1 MMP16 PMPCA TMPRSS11A HGFAC PAPPA HTRA3 CTSO PIK3IP1 TMPRSS2 LPA CFB TINAG TMPRSS7 CASP8 IMMP1L CAPN10 MBTPS2 PCSK5 ADAMTS3 PRSS36 USP34 MBTPS1 ADAM8 KLK5 CASP10 GPAA1 ADAM15 KDM8 F9 YME1L1 PCSK6 SPPL2C USP33 SENP5 MMP23B ADAMTS13 PRSS50 PDIA3 PSMB10 CTSV TPSG1 GZMB ADAMTS6 LGMN PCSK1 KLK9 TPP2 CLCA2 ADAM10 CELA1 ADAMTS17 TMPRSS11B KLKB1 TMPRSS15 CASP2 USP14 RHBDF1 ADAM28 NRDC USP1 MMP10 TMPRSS6 PRSS21 CELA3A KLK13 MMP14 CD5L NAPSA SPPL3 CFLAR ADAM11 ADAM7 ERAP2 CAPN11 ADAMTS16 USP49 MMP11 PRSS58 CTRB2 HTRA1 KLK8 PRSS3 SPPL2B TMPRSS4 CTRC USP12 ADAMTS14 USP27X USP9X RHBDD3 KLK14 KLK1 SFRP1 ADAM32 ADAM18 PRSS23 TMPRSS13 FURIN PRSS55 ASPRV1 ADAM9 SENP2 ADAM22 MMP19 PRSS22 CFI PCSK2 RCE1 ADAM17 PIDD1 BACE2 HTRA4 PIGK MMP12 ADAM19 USP48 CTSW ECE2 ATG4D PRTN3 TLL2 MMP25 PREP DDI2 PAPPA2 GZMM APEH TLL1 SHH TMPRSS12 MEP1B CAPN8 USP20 USP30 LONP2 HABP2 PSMB9 ADAM21 PRSS38 ADAMTS9 PCSK7 TASP1 CASP9 PCSK4 TPSB2 CAPN5 PGA5 CLCA4 CTSG USP8 C1S IMMP2L CAPN12 USP29 TMPRSS11E RHBDD1 ADGB PSMB8 PCSK9 MALT1 GZMA LMLN TMPRSS5 HM13 TMPRSS11D CPNE1 PARL ACE F12 CTSH GZMK KLK11 ATG4A MMP24 MEP1A F11 C1R OMA1 ADAM20 PIP,382,endopeptidase activity
2000,GO:0052656,BCAT1 BCAT2,2,L-isoleucine transaminase activity
2001,GO:1901611,ATP8B1 PLTP OPA1 ANXA13 GSDME UQCC3 PITPNA STOML2 PLEKHN1 MME NME4 UCP1 RPE65 PITPNC1 GSDMD,15,phosphatidylglycerol binding
2002,GO:0050473,ALOX15 ALOX15B ALOX12,3,arachidonate 15-lipoxygenase activity
2003,GO:0003998,ACYP1 ACYP2,2,acylphosphatase activity
2004,GO:0004806,LIPN LIPG DAGLA LIPM LIPF AADAC PNPLA4 PNPLA3 PLB1 PNLIPRP2 DAGLB PNLIPRP1 ABHD2 PNPLA1 LPL ABHD5 LIPE PNPLA2 PNLIPRP3 LIPC DDHD2 PNPLA5 PNLIP LIPK,24,triglyceride lipase activity
2005,GO:1905394,RAB7A RCSD1 TBC1D5 SORT1 M6PR SNX3 WASHC2C WASHC2A IGF2R,9,retromer complex binding
2006,GO:0097621,MAOB RNLS MAOA,3,monoamine oxidase activity
2007,GO:0106276,BLVRA BLVRB,2,biliberdin reductase NAD+ activity
2008,GO:0033798,DIO3 DIO2,2,thyroxine 5-deiodinase activity
2009,GO:0140272,ITGA5 DAG1 EFNB3 ACE2 NCAM1 CXADR RPSA ITGAV CCR5 NECTIN2 CLDN9 BSG HYAL2 MRC1 CD209 CLEC4G HYAL3 CR1 CLDN1 SLC1A5 ITGB7 SCARB2 EFNB2 ALB HSPA1A LDLR EGFR ITGA2 CDK1 LAMP1 PLSCR1 CR2 ANPEP CD4 SLAMF1 TYRO3 ITGB1 CLDN6 CD86 CXCR4 NPC1 ITGB6 GPR15 ILF3 SLC10A1 CD55 CDHR3 SCARB1 SLC20A2 TNFRSF14 HAVCR1 F11R XPR1 SLC7A1 GYPA SERPINB3 HYAL1 SLC52A2 MOG CD80 NECTIN4 CD81 IDE EPHA2 HTR2A CD46 CLEC4M SIVA1 ITGB5 TFRC SELPLG CLEC5A NECTIN1 DPP4 HSPA1B PVR TNFRSF4 SLC3A2 ITGB3 SLC52A1 ICAM1 AXL,82,exogenous protein binding
2010,GO:0030911,SRP72 TRAK1 STUB1 HSP90AA1 RAB8B PDE2A HSP90AB1,7,TPR domain binding
2011,GO:0008294,ADCY8 ADCY1,2,calcium- and calmodulin-responsive adenylate cyclase activity
