,GO,Genes,Gene_Count,Term_Description
412,GO:0098797,GRIN3B CDH15 CACNB2 KCNV2 C2CD6 ITGB2 CHRND IL6 CASP3 GJC3 PLP1 KCNK6 KCNH4 CHRFAM7A AP2A1 GJB1 TSPAN32 KCNMB2 GJD3 GABBR2 HJV CTNNA1 CBL ABCG8 GNAO1 HLA-DQA2 TLR2 KCNIP1 KCNN1 IL18RAP HTRA2 GNB5 SSPN CTNNA2 ITGA4 KCNMA1 KCNV1 HLA-DRB1 GRIK2 KCNN4 IL23R KCNQ1 KCNJ16 RAC2 KCNG1 ITGA2 SYK KCNG4 ACVR1C CACNG2 GRIN2C CDH13 AHNAK ITGB1 COL13A1 CALM2 ABCD4 CHRNA5 CHRNA7 PSENEN KHDRBS1 KCNQ4 GNB3 CTNND1 GJA5 AP2M1 GJB4 LIN7A IL12RB1 CDHR3 CACNA2D2 PSEN1 BMPR1B CDH23 KCNS3 HCN1 C7 GABBR1 GJD2 KCNE3 CHRNB3 ITGA9 SLC18A3 SUMO1 CACNB1 KCNK2 CACNA2D4 GLRA3 HLA-F HLA-DQB1 ATP1A1 PSEN2 GNG13 C5 ITGA10 BMPR1A ITGA11 FLOT2 GNA14 UTRN CRB1 TRAF2 KCNB2 SORBS1 CD247 HLA-A CACNA1I KCNA5 CDH9 KCNA4 LIME1 CACNA1B SGCB SNAP25 STON1-GTF2A1L CHRNA2 PICALM KCNE5 CNIH3 LRP5 KCNMB1 FCGR3A SCN9A CHRNG RAMP1 PORCN GJA4 APC2 CAV1 CAV2 CLTA KCNH1 ABCB6 ITGA3 ABCB8 LYN ATP12A SLC3A2 GJB3 EPS8 MPP7 KCNQ5 CACNG3 ITGB3 KCNAB2 CDH2 CACNG7 VCAM1 SNTG2 HLA-DOB GJC2 APH1A BMP2 TF ITGA5 IFNL1 EPS15 ABCG5 SHISA7 SCN3A HLA-DRB4 IFNLR1 TFR2 CRB2 CHRNE B2M SGCG HLA-DPB1 TMIGD2 KCNA7 KCNQ3 KCNK1 OLFM2 KCNJ2 CDH8 INHA SCN2A CDH17 NCF2 C9 CDH22 AP2S1 GRIN2A HTR3A SNTG1 CACNA2D1 GRB2 FZD8 NOX3 CHRNA1 LRRC38 SHISA9 CD3D DRD1 SCN2B SCN5A IGF1 SGCA TMED10 CACNG5 GRIN3A CDH11 ATP1A4 ABCC9 BTBD8 KCNJ3 VWC2L GP5 GJA1 IL10RB ITGB7 KCNC1 SNTB1 CD3G EFCAB7 NCSTN CHRNA4 GNB4 HSPA2 KCNC3 IL6ST GRIK5 ITGA7 GNAI3 DCHS1 SGIP1 HLA-DMB HFE GNAQ GJA10 ITGAX RAC1 CDH24 IRS1 CNTNAP2 CD4 EPS15L1 CATSPER3 CATSPERE GNG10 ATP1B1 GNG12 HLA-DQB2 ITGA8 KCNIP3 CORO1C GNG11 TGFBR1 AP2A2 SCN7A OSMR CSF2 TRAT1 CNIH2 KCND1 VWC2 CACNA1E CACNG8 JAK2 KCNJ8 INSRR SCN11A RAC3 FXYD2 DIABLO GJA9 ALCAM IL2RA TLR6 HLA-G TBC1D5 SLC6A6 IL13RA1 GLRB SHISA8 CALCRL CALCR IL6R DUOX2 KCNMB3 KCNJ14 PDE4B STAC3 DMD CATSPERZ CD79B KCNQ2 RAMP3 GP1BB ABCC8 MR1 GNAI1 GRID2 C6 KCNAB3 KCNJ6 LRP6 ITGA1 VTN CATSPERB TLR1 HLA-C NOX4 TYK2 ABHD6 KCNA10 GNA15 CYBB ATP6V0D2 ABHD12 CSF2RB FAF1 CACNA1D LILRA4 LIN7B STON1 KCNJ4 HTR3C GRIK3 GJB6 ATP1B2 GNAL CDH1 CLTC KCND2 CD8B GJA3 DAG1 GNG5 SCN8A ATP6V0D1 ACVRL1 CDH7 HMGB1 RIPK1 DUOX1 HLA-DRB5 APBB1IP KCNF1 CDH3 ANXA2 SCN4A KCNS2 NOXA1 GNA12 ATP1A3 CTNNB1 TMEM249 CATSPERD INSR ATP4A SYNJ1 ITGAL CD74 DLG1 GRIA2 HCN2 CDH4 HLA-DOA GNAT2 ITGAD KCNS1 CASP8 KCNE2 IL2RB CACNA1H KCNG2 CD6 AP2B1 CHRNB4 GRIN2D IL18R1 ACVR2A CACNG4 ATP1B3 SKAP1 NEO1 ADAM8 CASP10 EGFR DLG2 ITGA6 FLNA SNTB2 CPT1C CACNA2D3 KCNJ5 CDH20 TRAF3 GNB2 DPP6 VAMP2 KCND3 HLA-DRB3 KCNC2 CACNA1G FKBP1A GNAZ KCNA6 ITGB6 CHRNA3 APC C8G EVC SDCBP GP9 PTK2B GJB5 ITGB8 KCNMB4 PGM5 IKBKB ABCA2 CACNB3 KCNA3 GJA8 CACNA1A EFCAB9 GNAT1 GFRA1 CACNG1 SHISA6 TMEM262 KCNG3 SGCD KCNB1 GRIA3 CD79A CACNG6 CNTFR SHC1 AKAP9 CAV3 GJD4 CFLAR GRIK1 NCF1 KCNJ11 SGCE KCNH5 ITGB4 CHRNB2 ITGB5 GNGT2 KRT8 NOX5 CD40 CACNA1C HCN4 STX1A SNTA1 GNG14 CACNA1F RYR1 CD3E GPR156 KCNAB1 EMILIN1 SCN1A GNA13 GJB2 APH1B HTR3E TRADD CDH10 KCNE1 GNGT1 RAMP2 GRIA1 GRIA4 ERBB2 KCNA2 JUP CATSPERG DLG4 FCER1G CTTN IGF1R ERBB3 GNG8 STXBP5 GNG4 DLG3 LRP1 ITGAV GRIN2B CATSPER4 ITGBL1 CALM1 GNA11 SCN10A CRB3 TRAF6 GNAT3 GRIK4 KCNH2 CHUK CATSPER2 GNB1 GJB7 ATP1A2 HLA-DQA1 NCF4 TRAF1 CATSPER1 LIN7C HLA-E NOXO1 PSG9 DRD2 FLOT1 SCN3B ITGA2B FXYD1 TRAF5 GNG2 ITGAE HLA-DRA GJC1 NHERF1 ATP1B4 CLTB ACVR1B MS4A2 FADD CDH12 RNF31 C8B GRIN1 CHRNB1 AMIGO1 HSPG2 GNG7 LRRC55 BIRC2 HLA-B NOX1 KCNA1 LRRC26 CACHD1 WNT3A CD8A CACNB4 CDH5 S100A10 RET CACNA1S SCN1B HTR3B ATP4B CYBA CSF2RA CHRNA6 HLA-DPA1 HCN3 PDE4D CDH18 OLFM3 TNK2 FAS SLC6A3 CDH19 PTPN6 DPP10 CALM3 ACVR1 KCNIP4 CDH6 HTR3D KCNIP2 GP1BA TFRC TRAF4 SCN4B FXYD4 PRKCA LRRC52 EVC2 TGFBR3 GNG3 TGFBR2 STON2 ITGAM GNAI2 GRM1 C8A ZAP70 SGCZ CDH26 ACVR2B GNAS CHRNA9 KCNC4 SLC7A5 CEACAM1,595,plasma membrane protein complex
413,GO:0070761,NOP58 NUFIP1 NOP56 ZNHIT3 TAF9 PIH1D1 ZNHIT6,7,pre-snoRNP complex
414,GO:0005680,CDC20 UBE2S CDC16 MAD2L2 BUB1B ANAPC4 FZR1 CDC26 CUL7 ANAPC1 CDC27 ANAPC13 CDC23 ANAPC2 ANAPC10 ANAPC15 CDC20B ANAPC11 UBE2C ANAPC16 ANAPC5,21,anaphase-promoting complex
415,GO:0098830,VAC14 AP3D1 SNX4,3,presynaptic endosome
416,GO:0005876,HNRNPU FAM161A KIF2A EML3 CALM1 TTL KIF4A MTCL1 HAUS7 CAPN6 CSNK1D PLK1 MAPRE1 CHMP1B ZWILCH PSRC1 KIFAP3 MAPRE3 KLHL21 PRC1 SKA2 RMDN3 KIF3B CLASP1 CDK1 CHMP7 CENPE ZW10 CALM2 HAUS8 HAUS3 AURKB CLASP2 HAUS2 TUBGCP3 CCDC57 CEP295 ARL3 SKA1 CHMP3 BBLN AURKC CHMP2B PARP4 CHMP6 POLB RMDN2 CHMP4B KIF11 HAUS5 TUBG2 HAUS1 CALM3 KNTC1 DYNLT3 PAFAH1B1 RNF103-CHMP3 CHMP4A CHMP1A CHMP5 MAP9 CCSAP BOD1 MISP MAP1S TUBG1 CHMP4C HAUS4 KIF18B KIF3A NUMA1 CHMP2A FAM110A HAUS6 KIF18A RMDN1 RAB11A KLHL22 AURKA CLTC SKA3 CUL3,82,spindle microtubule
417,GO:0000811,GINS4 GINS2 GINS1 SLC5A8 GINS3,5,GINS complex
418,GO:1990879,CTC1 TEN1 STN1,3,CST complex
419,GO:0098833,FCHO2 SNAP91 PICALM DNM1 DNAJC6 AP2M1 CLTB CLTA PACSIN1,9,presynaptic endocytic zone
420,GO:0097225,FSIP2 CFAP58 CD52 GK2 CCR6 AKAP4 SPATA33 SPATA19 SPEF2 IL4I1 ATG16L1 IFT27 VPS13A TCP11 LYZL6 SPMIP6 CCDC172 TBC1D21 ACE CCDC34 AKAP3 CALM1 PACRG CFAP69 TACR3 TOMM20 NHERF1 VDAC2 HSPD1 TACR1 IFT172 AK2 PPP3R2 HSP90AA1 SQSTM1 IFT81 NME8 TACR2 RHO CALM2 SLC26A3 GABARAP DEFB1 PTCHD3 HYAL3 ADGB CALM3 CFAP65 MROH2B GARIN2 ATP1A4 SLC26A6 RAP1A,53,sperm midpiece
421,GO:0061827,ADAM29 TACR2 RHO SCAPER ALDOA WBP2NL PLCZ1 DEFB132 CCDC38 CST11 TACR1 DNAJB1 ADAM30 ACTL9 ADAM20 OPN4 ADAM21,17,sperm head
