GO	Genes	Gene_Count	Term_Description	50perc_contaminated_Genes	100perc_contaminated_Genes	Genes enriched term id	Genes enriched term description	Genes adj p-value	Genes overlap over enriched	Genes overlaping genes	50perc_contaminated_Genes enriched term id	50perc_contaminated_Genes enriched term description	50perc_contaminated_Genes adj p-value	50perc_contaminated_Genes overlap over enriched	50perc_contaminated_Genes overlaping genes	100perc_contaminated_Genes enriched term id	100perc_contaminated_Genes enriched term description	100perc_contaminated_Genes adj p-value	100perc_contaminated_Genes overlap over enriched	100perc_contaminated_Genes overlaping genes
GO:0045069	NOTCH1 TNIP1 TRIM38 SETDB1 IFIT1 TASOR IFITM2 MX1 APOBEC3H MAVS CD28 TRIM28 IFIH1 CXCL8 ISG15 IFITM1 RAD23A PLSCR1 SLPI PABPC1 PPIE PDE12 BANF1 LTF PPIH RESF1 VAPB ADAR N4BP1 ISG20 OASL DDX5 TNF EIF2AK2 OAS1 ILF3 APOBEC3A_B TARBP2 IFNL3 NR5A2 INPP5K BST2 DDX3X TOP2B PPID APOBEC3G ZC3HAV1 PKN2 DDB1 HACD3 APOBEC3A IFI16 SRPK2 OAS3 MPHOSPH8 IFITM3 IFNB1 CCL5 BTBD17 TMEM39A GBP7 SHFL MORC2 ZNFX1 FKBP6 TOP2A RSAD2 CNOT7 APOBEC3B STAU1 IFIT5 SRPK1 ADARB1 TRIM6 APOBEC3F APOBEC3C RNASEL FAM111A HMGA2 PPIA BCL2 OAS2 LARP1 PROX1 AICDA	85	regulation of viral genome replication	BST2 SETDB1 SHFL AICDA ADAR PABPC1 RESF1 APOBEC3H CCL5 BANF1 TRIM38 APOBEC3A SRPK1 INPP5K IFIH1 TNIP1 PPID TRIM6 LARP1 APOBEC3C NR5A2 APOBEC3A_B MX1 MPHOSPH8 OAS2 SRPK2 IFITM2 LTF APOBEC3B FKBP6 PPIE APOBEC3F ADARB1 PKN2 TOP2B TOP2A DDX3X IFIT5 IFNL3 ISG15 PPIH RAD23A JHY FBXL15 PLA2G5 C5orf46 COPS8 GTF2B FAM98B CCNB2 GLRX3 CAPZA1 USP17L20 RPS2 GPR3 PSKH2 RXYLT1 MCCC2 CD300LG C12orf43 HEXIM1 SRSF4 CNGB3 ANAPC1 POMZP3 DDX46 PPP2R5D RFX3 RUBCN DAP3 ALKBH5 IGSF8 ALMS1 TAS2R3 ZNF497 CPZ TOPAZ1 MAGEA10 TUBB4B TAAR9 BCL2L1 TLR7 OR10K2 AZGP1 EXD2	PDIA6 STC2 NFASC MMP13 SPECC1 MAP3K13 FDXR POLR3D NAB1 MSRB2 MRPL3 PICALM NUP107 ZNF404 NAA25 RNF17 HECTD2 DDX10 PPEF1 NRTN CHCHD4 ATP5MF OR5AL1 NEK9 AGL GPR39 DNAH12 PIGZ ZNF280A AP5M1 RBM15B SNX10 UQCC3 GFI1 MATN1 RBM24 KCNK16 GATD1 CILP ESPN TEAD2 ND5 BGN SCG5 USP29 CYSRT1 TRIM69 OR11H7 TMED7-TICAM2 STEAP4 LDB1 KIF17 STK10 GOLGA6A PTHLH USP17L4 OR5A2 SOX12 AGFG1 MUC4 EPHB2 DNAI3 CAPRIN2 RGL1 SMCHD1 SNRPB2 ITGA7 SPACA4 DYNC2H1 NGF SLC15A1 ZFP1 IL16 CEACAM16 NME4 ACTBL2 HOXB8 TTR KLHL21 STMP1 RUFY3 DNASE1 CNKSR2 NDUFB10 C4B	GO:0045069	regulation of viral genome replication	2.489678588469533e-228	85/85	APOBEC3B,TNIP1,ISG15,OASL,DDX5,MAVS,RSAD2,PABPC1,IFIT5,TRIM38,IFNB1,HMGA2,IFI16,IFITM3,TASOR,PPIE,HACD3,PKN2,APOBEC3C,OAS3,MX1,PROX1,LARP1,DDX3X,IFITM1,ZNFX1,CCL5,BCL2,ZC3HAV1,ISG20,RNASEL,NR5A2,MPHOSPH8,IFIT1,SRPK2,AICDA,GBP7,LTF,ILF3,APOBEC3F,SHFL,STAU1,TOP2A,RESF1,MORC2,TMEM39A,TNF,CNOT7,BTBD17,TRIM28,PPIA,PPIH,APOBEC3A_B,ADARB1,APOBEC3G,N4BP1,CXCL8,FAM111A,ADAR,BST2,VAPB,PDE12,PLSCR1,OAS2,TOP2B,TARBP2,IFIH1,EIF2AK2,RAD23A,NOTCH1,PPID,TRIM6,FKBP6,SETDB1,SRPK1,DDB1,SLPI,OAS1,IFITM2,INPP5K,APOBEC3A,IFNL3,CD28,BANF1,APOBEC3H	GO:0045069	regulation of viral genome replication	5.731216087414082e-75	42/85	TOP2B,TOP2A,LARP1,RESF1,APOBEC3B,DDX3X,TNIP1,IFIH1,ISG15,CCL5,RAD23A,PABPC1,PPID,TRIM6,IFIT5,PPIH,APOBEC3A_B,ADARB1,TRIM38,FKBP6,SETDB1,SRPK1,NR5A2,MPHOSPH8,IFITM2,SRPK2,AICDA,ADAR,PPIE,INPP5K,BST2,APOBEC3A,LTF,IFNL3,PKN2,APOBEC3F,BANF1,SHFL,APOBEC3C,APOBEC3H,MX1,OAS2	GO:0009206	purine ribonucleoside triphosphate biosynthetic process	0.1243911552882535	5/110	UQCC3,ATP5MF,NDUFB10,NME4,ND5
GO:0097026	CCL19 CCR7 CCL21	3	dendritic cell dendrite assembly	CCR7 OXTR OR10X1	KYAT1 OR2T8 ADAR	GO:0097026	regulation of dendritic cell dendrite assembly	3.4974969333547603e-10	3/3	CCL19,CCL21,CCR7	GO:0070371	ERK1 and ERK2 cascade	0.0289008982469948	2/324	CCR7,OXTR	GO:1903944	negative regulation of hepatocyte apoptotic process	0.053988679975439	1/7	ADAR
GO:0036257	VPS37A CHMP6 CHMP3 STAM2 CHMP4A HGS CHMP7 CHMP1B VPS37B RAB27A VPS37C RNF103-CHMP3 VPS4B SNF8 VPS37D VPS25 CHMP4C VPS4A IST1 CHMP1A VPS36 VPS28 MVB12A PDCD6IP CHMP2B RAB11A CHMP2A VTA1 UBAP1 STAM CHMP4B CHMP5 TSG101	33	multivesicular body organization	STAM VPS37A VPS36 TSG101 CHMP1A MVB12A CHMP4C CHMP2B RAB11A CHMP3 VPS28 HGS VPS25 CHMP7 RNF103-CHMP3 VPS37B ZNF445 RLN2 SFXN3 MTMR4 SMG1 LOXL3 RAB38 SRP54 CAPN11 AURKAIP1 PSMA6 ZNF398 SERPINB1 RPS6KB1 MTR AGR2 KCNQ1	DUSP12 MAP1B KIDINS220 MXD3 PLAUR SDR42E1 ANKRD13C CUL5 TMEM25 ACRBP HABP4 SMC6 MYO18A NME4 PCDHGA4 TNP1 PRPF38A DNAJC7 CD1B ANGEL2 ARMC8 GPR139 HSFX3 OR2G3 ST7 ACADL PLXNA3 MEF2C RELCH DAG1 POU3F1 PHF24 RAB1A	GO:0036257	multivesicular body organization	1.6555909500749058e-100	33/33	MVB12A,STAM,VPS37B,IST1,CHMP2B,TSG101,VPS28,CHMP1B,CHMP4A,VPS25,VPS4A,CHMP4B,CHMP1A,CHMP6,VTA1,SNF8,CHMP3,VPS36,VPS37C,RAB11A,VPS37A,VPS37D,CHMP5,VPS4B,CHMP2A,STAM2,HGS,PDCD6IP,RAB27A,CHMP7,UBAP1,CHMP4C,RNF103-CHMP3	GO:0036258	multivesicular body assembly	3.806679490499105e-34	16/32	MVB12A,VPS37A,STAM,VPS37B,CHMP2B,CHMP7,VPS36,CHMP3,CHMP4C,TSG101,VPS28,CHMP1A,HGS,RNF103-CHMP3,VPS25,RAB11A	GO:2001016	positive regulation of skeletal muscle cell differentiation	0.264592124453714	1/6	MEF2C
GO:0007039	DPP7 LRP1 GBA1 CPA2 TMEM106B TMEM199 TCIRG1 VPS13A VPS35 LDLR MGAT3 MARCHF2 CCDC115 ATP13A2 CD81 MFSD8 RNF128 LAPTM4B SLC17A9 LRP2 USP8 TPP1 LAMP2 CLN3	24	protein catabolic process in the vacuole	LDLR CLN3 DPP7 LRP1 MGAT3 TPP1 MARCHF2 GBA1 USP8 CD81 VPS13A LRP2 TCTA ZNF268 TNNT3 KCNE3 ELP2 SFN TRUB2 ZNF736 CNOT6L BRINP3 EFHC2 RABGAP1L	SLC35A3 STMN2 GPR179 ZHX2 SALL2 CENPA ACADSB SYNGR2 UQCRQ ZFP36 DNAJC25 MSTO1 INHBE ARID5A OCEL1 ACAD9 MICU2 CTF1 GUCY2D ZNF683 PRKCA LEMD2 L2HGDH USP22	GO:0007039	protein catabolic process in the vacuole	2.7299561843734284e-75	24/24	SLC17A9,LAPTM4B,CLN3,VPS13A,ATP13A2,LRP1,LDLR,CPA2,TPP1,VPS35,LRP2,DPP7,TMEM106B,TMEM199,USP8,CCDC115,RNF128,TCIRG1,MGAT3,CD81,LAMP2,MFSD8,GBA1,MARCHF2	GO:0007039	protein catabolic process in the vacuole	8.778940488627917e-27	12/24	LRP1,MGAT3,USP8,LDLR,CLN3,TPP1,CD81,VPS13A,LRP2,GBA1,DPP7,MARCHF2	GO:1904582	positive regulation of intracellular mRNA localization	0.2180853457208429	1/3	ZFP36
GO:1900047	ANXA2 SERPING1 TFPI THBS1 PROS1 SERPINE1 FGA VTN FAP KNG1 SERPINB2 APOE PRKCD ADAMTS18 PLAU COMP USF1 PDGFRA PROC PLAT ADTRP FGB PLAUR EDN1 SERPINE2 APOH PDGFB TSPAN8 GP1BA F2 SH2B3 NOS3 ALOX12 F12 CD9 SERPINF2 KLKB1 CPB2 UBASH3B F11 PRKG1 THBD CEACAM1 C1QTNF1 FGG PDGFA KRT1 PLG HRG TMX1	50	negative regulation of hemostasis	F11 PRKCD TFPI APOH SERPINE1 C1QTNF1 ADTRP USF1 PDGFA FGA PLG FGB ALOX12 SERPINF2 PRKG1 CEACAM1 F2 PLAU PDGFB EDN1 KRT1 PDGFRA GP1BA UBASH3B CD9 OR5I1 ZMYM3 RBM11 CHAT RAD23A FLRT2 RBM26 CCT4 ATP2B2 HADHB PSAP PPIAL4E PCDHA11 MPP4 TMEM63A POU5F1B AP2A2 GNG3 USP48 RGL1 PSMB1 RAB39B EIF3M MBD5 NVL	SUOX METRN KSR1 SAMD8 RPAIN GSTO2 SDF2 IPMK AKAP5 EPB42 OR12D2 LUZP1 REEP3 LAMB3 RTCB SYNE2 OTX2 ITGB4 GOLM1 H2AC7 TRMO PRKACG TAS2R14 RTF2 PTPRCAP STAB2 ALG10B GGTLC1 ZNF567 CLCN7 PSMC2 SNAPC2 TMEM97 CHTF18 IMMP1L OR1L6 SGMS1 ARHGEF26 CENPN OR51B5 LRRC4 RAD21L1 EXOC3L4 CPLX4 DPH2 XPR1 EPHA5 SOHLH1 MFSD4A SLC35D2	GO:1900047	negative regulation of hemostasis	2.367776591979152e-144	50/50	KNG1,PLAU,FGA,APOE,PLG,ADTRP,PLAT,VTN,PLAUR,FGB,FAP,GP1BA,ANXA2,NOS3,KRT1,HRG,TMX1,SERPINE2,KLKB1,SERPING1,THBD,PDGFB,ADAMTS18,SERPINF2,FGG,PROC,F11,ALOX12,PRKCD,C1QTNF1,TSPAN8,SERPINB2,USF1,EDN1,F12,PDGFA,SH2B3,CPB2,F2,PROS1,APOH,COMP,THBS1,PDGFRA,TFPI,SERPINE1,UBASH3B,CEACAM1,PRKG1,CD9	GO:1900047	negative regulation of hemostasis	4.322083753680067e-50	25/50	PLAU,FGA,PLG,ADTRP,FGB,GP1BA,KRT1,SERPINF2,PDGFB,F11,ALOX12,PRKCD,C1QTNF1,USF1,EDN1,PDGFA,F2,APOH,PDGFRA,TFPI,SERPINE1,UBASH3B,CEACAM1,PRKG1,CD9	GO:0006686	sphingomyelin biosynthetic process	0.4361951288180224	2/11	SAMD8,SGMS1
GO:2000347	WNT3A TNFAIP3 CFLAR MED1 XBP1 HPN TNF FGF1 PTN MDK	10	positive regulation of hepatocyte proliferation	XBP1 TNF PTN FGF1 TNFAIP3 MRPL36 FOXK2 NGF ASPN ZNF551	ATP6V1G1 ZNF821 OR8J3 COX16 NCF4 ATP6V0A2 H1-4 NOMO3 SEMA6D CREB3L2	GO:2000347	positive regulation of hepatocyte proliferation	3.721316348903744e-33	10/10	HPN,TNF,MDK,XBP1,FGF1,TNFAIP3,MED1,WNT3A,CFLAR,PTN	GO:2000347	positive regulation of hepatocyte proliferation	8.758445216260241e-12	5/10	XBP1,FGF1,TNFAIP3,TNF,PTN	GO:0036295	cellular response to increased oxygen levels	0.0070501409581478	2/12	ATP6V1G1,ATP6V0A2
GO:0140009	SLC1A1 SLC1A2 SLC1A6 SLC1A3 SLC1A4 SLC1A5	6	L-aspartate import across plasma membrane	SLC1A5 SLC1A6 SLC1A3 SLC25A26 ITGA6 MUTYH	SPATA31D4 ERCC6 DUX4 RHBDD2 RAP1GAP2 C15orf62	GO:0140009	L-aspartate import across plasma membrane	1.2408310399208727e-20	6/6	SLC1A4,SLC1A1,SLC1A3,SLC1A5,SLC1A2,SLC1A6	GO:0140009	L-aspartate import across plasma membrane	1.755959240457048e-07	3/6	SLC1A5,SLC1A3,SLC1A6	GO:0035065	regulation of histone acetylation	0.1122841655224794	1/17	ERCC6
GO:1903651	EIPR1 PRKN MECP2 TRIM46 MAP2	5	positive regulation of cytoplasmic transport	TRIM46 PRKN OR13J1 CATSPER3 PRR19	MRPS16 NDUFAF6 KARS1 CD300C SLC35F4	GO:1903651	positive regulation of cytoplasmic transport	8.281953922215668e-17	5/5	EIPR1,TRIM46,MECP2,PRKN,MAP2	GO:1903651	positive regulation of cytoplasmic transport	0.0005078179171877	2/5	TRIM46,PRKN	GO:0045575	basophil activation	0.0466905477245729	1/3	KARS1
GO:0097350	HMGB1 XKR8 MERTK ANXA1 CCR2 AXL	6	neutrophil clearance	AXL HMGB1 CCR2 ZNF160 GSDME EXD3	CFAP46 CDON SAMD7 PCDHA10 DOK1 EDRF1	GO:0097350	neutrophil clearance	2.7748417288922624e-20	6/6	MERTK,XKR8,CCR2,AXL,HMGB1,ANXA1	GO:0097350	neutrophil clearance	4.192899903806026e-07	3/6	CCR2,HMGB1,AXL	GO:0038145	macrophage colony-stimulating factor signaling pathway	0.2213800283996221	1/7	DOK1
GO:0045959	CR1 SUSD4 C4BPB SVEP1 CR2 CD46 C4BPA CR1L	8	negative regulation of complement activation, classical pathway	SUSD4 SVEP1 CR2 CD46 PPFIA1 APH1B GLRA1 DNAAF11	UST SLC2A6 H1-6 OR6S1 RNFT2 EEA1 MASTL RGS2	GO:0045959	negative regulation of complement activation, classical pathway	2.2737184405212176e-27	8/8	CR2,C4BPA,CD46,C4BPB,SUSD4,CR1,SVEP1,CR1L	GO:0030450	regulation of complement activation, classical pathway	6.134499228807007e-10	4/9	CR2,CD46,SVEP1,SUSD4	GO:0015755	fructose transmembrane transport	0.132948430616953	1/10	SLC2A6
GO:0002667	CLC FOXP3 PHLPP1 CD3E CBLB ITCH LILRB4 HLA-B	8	regulation of T cell anergy	PHLPP1 CBLB CD3E CLC SRSF11 EEF1A1 HOXC5 NDUFC2-KCTD14	DSG2 PSMC3IP CD93 PCDHA13 GNAQ CKMT1A LYSET TIMM50	GO:0002667	T cell anergy	2.296627442440827e-27	8/8	LILRB4,CBLB,PHLPP1,FOXP3,HLA-B,CLC,CD3E,ITCH	GO:0002667	regulation of T cell anergy	3.261709255393105e-10	4/8	CLC,CBLB,CD3E,PHLPP1	GO:0006599	phosphagen metabolic process	0.1252182802036492	1/5	CKMT1A
GO:0072488	RHBG RHAG SLC12A7 SLC12A4 RHCE SLC12A6 AQP1 SLC12A2 RHCG RHD AQP8 SLC12A5	12	ammonium transmembrane transport	RHCE RHD SLC12A7 AQP8 RHBG SLC12A5 LRRN3 CDA COPS7A CXCL1 CGGBP1 PGLYRP3	SHISA8 MCAM SFTPB DBX2 LEFTY2 TMEM87B CHST8 LIF ZNF184 KCTD21 ME1 SERPINB3	GO:0072488	ammonium transmembrane transport	4.458207769934041e-40	12/12	RHD,SLC12A7,RHCG,SLC12A4,AQP8,RHBG,SLC12A2,SLC12A6,AQP1,RHCE,SLC12A5,RHAG	GO:0072488	ammonium transmembrane transport	1.2088999574136375e-14	6/12	RHD,SLC12A7,RHBG,RHCE,SLC12A5,AQP8	GO:0072108	positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	0.2071257803073799	1/4	LIF
GO:1902966	RDX ROCK2 DTX3L EZR EGF MSN MGAT3 NF2 SORL1	9	positive regulation of protein localization to early endosome	DTX3L RDX MSN EZR MRPS11 ZNF106 UTF1 DHCR24 UPF3A	PLXNA3 PTH2R OR2S2 TRIM17 MTHFR RFTN2 BHMT2 CASKIN1 REEP1	GO:1902966	positive regulation of protein localization to early endosome	3.4171640829837364e-30	9/9	EZR,MGAT3,RDX,EGF,NF2,MSN,SORL1,DTX3L,ROCK2	GO:1902966	positive regulation of protein localization to early endosome	3.0602318280569664e-09	4/9	EZR,MSN,RDX,DTX3L	GO:0006555	methionine metabolic process	0.0028437734577701	2/16	BHMT2,MTHFR
GO:0035754	PTK2B CXCL13 XCL1 PIK3CD HSD3B7 CH25H CYP7B1 GAS6	8	B cell chemotaxis	CXCL13 CYP7B1 XCL1 GAS6 MARCO HIBADH TRIM31 GAL3ST1	LIX1L TSPY3 HRG FAM9A SEPTIN10 TRIB2 OR52E2 LMNB1	GO:0035754	B cell chemotaxis	6.81542807108375e-27	8/8	PIK3CD,PTK2B,GAS6,XCL1,HSD3B7,CXCL13,CYP7B1,CH25H	GO:0035754	B cell chemotaxis	1.3144828286755904e-09	4/8	GAS6,CYP7B1,XCL1,CXCL13	GO:0051664	nuclear pore localization	0.1812046453285914	1/5	LMNB1
GO:0070294	SGK1 CLCNKB OXSR1 UMOD KCNQ1 EDNRA SLC12A3 EDN1 KLHL3 MAGED2 WNK4 EDNRB STK39	13	renal sodium ion absorption	EDNRA OXSR1 CLCNKB MAGED2 KLHL3 EDN1 MAB21L1 CSK UBE3B CD200 RTP3 NF2 AVEN	GINS4 TAP1 TOM1 SPAAR RIGI BMP2K GCG MST1R DUSP4 SERPINA6 TRUB2 SERPINA9 TMBIM6	GO:0070294	renal sodium ion absorption	8.086226153987868e-43	13/13	SGK1,OXSR1,EDN1,MAGED2,SLC12A3,WNK4,EDNRB,KLHL3,CLCNKB,UMOD,STK39,EDNRA,KCNQ1	GO:0070294	renal sodium ion absorption	1.0977926689204735e-13	6/13	EDN1,OXSR1,MAGED2,KLHL3,CLCNKB,EDNRA	GO:1901096	regulation of autophagosome maturation	0.1363848595628969	1/17	TOM1
GO:1905668	ABHD17C ABHD17A RDX ROCK2 EZR DTX3L EGF MSN ABHD17B MGAT3 NF2 SORL1	12	positive regulation of protein localization to endosome	DTX3L ABHD17A ABHD17C EGF RDX EZR NECAP1 PSMD14 VTI1B IQCH FTH1 CD101	LETM1 RUFY1 IL1RAPL1 SETX POLR2L EPX ZCCHC3 GSX1 GADD45GIP1 RCN3 DNAI4 EPHA1	GO:1905668	positive regulation of protein localization to endosome	9.338686585472034e-40	12/12	EZR,ABHD17C,MGAT3,ABHD17B,RDX,ABHD17A,EGF,NF2,MSN,SORL1,DTX3L,ROCK2	GO:1905668	positive regulation of protein localization to endosome	1.8695700816198523e-14	6/12	EZR,RDX,ABHD17A,EGF,DTX3L,ABHD17C	GO:0140141	mitochondrial potassium ion transmembrane transport	0.2225416040477867	1/4	LETM1
GO:1902083	NCOA7 ATP2B4 SNTA1 OXR1 DMD TBC1D24	6	negative regulation of peptidyl-cysteine S-nitrosylation	DMD OXR1 NCOA7 KPNA5 HNRNPH2 ANKRD40	SP140L ZFP92 PVALB ACYP2 FBLN7 KCNJ6	GO:1902083	negative regulation of peptidyl-cysteine S-nitrosylation	1.9071484241265925e-20	6/6	DMD,SNTA1,TBC1D24,NCOA7,ATP2B4,OXR1	GO:1902083	negative regulation of peptidyl-cysteine S-nitrosylation	1.488430824320933e-07	3/6	DMD,OXR1,NCOA7	GO:0098977	inhibitory chemical synaptic transmission	0.0835095070182682	1/3	PVALB
GO:0001711	RTF1 CDC73 SOX2 PAF1 LEO1 SOX17 CTR9 CTNNB1 EOMES MESP1 DKK1 GATA6 NANOG HNF1B POU5F1	15	endodermal cell fate commitment	CTNNB1 SOX17 CTR9 PAF1 CDC73 SOX2 MESP1 NCF4 KLK2 CLEC12B ZNF513 ZNF512B GC CABS1 UBAP2L	IKZF4 ZNG1A MMP28 CBR3 EIF3J OR4K15 DMXL2 XRCC5 P3H2 NIPAL2 CCNYL1 GNMT OR7D2 MACF1 DDA1	GO:0001711	endodermal cell fate commitment	6.125994126308619e-49	15/15	NANOG,CTR9,CDC73,LEO1,RTF1,MESP1,CTNNB1,PAF1,EOMES,GATA6,HNF1B,POU5F1,DKK1,SOX17,SOX2	GO:0001711	endodermal cell fate commitment	5.676425166680872e-16	7/15	CTR9,CDC73,MESP1,CTNNB1,PAF1,SOX17,SOX2	GO:1904430	negative regulation of t-circle formation	0.260484632426004	1/3	XRCC5
GO:0140367	DEFB136 UMOD MPEG1 TFEB MARCHF2	5	antibacterial innate immune response	UMOD MPEG1 TMEM127 CDCA3 BICC1	NRXN1 CPA1 ADCY2 ZZZ3 TPX2	GO:0140367	antibacterial innate immune response	2.931442108370454e-17	5/5	MPEG1,TFEB,DEFB136,UMOD,MARCHF2	GO:0140367	antibacterial innate immune response	0.0002035411488728	2/5	MPEG1,UMOD	GO:0007638	mechanosensory behavior	0.1073501425508657	1/13	NRXN1
GO:0016079	SYT10 RIMS1 DOC2A RAP1A SYNJ1 VPS18 PPFIA3 OTOF RAP1B SYP RIMS3 NAPB RPH3A UNC13B SYT2 SCRIB PRRT2 CDK5 CPLX2 SNAP29 SYT1 DTNBP1 BRAF SV2A CADPS2 DOC2B PREPL SNPH CPLX3 GRIK5 WNT7A FMR1 STX11 SYN1 RAB3A VAMP2 UNC13C DVL1 SYT8 STX1B STX1A RAB3GAP1 SYT5 CASK CSPG5 SV2C DNAJC5 STXBP1 FBXL20 CADPS SYT7 CTBP2 SYT12 CACNB4 SYT11 P2RY4 TPRG1L PPFIA2 LRRK2 UNC13A NAPA SEPTIN5 CPLX4 RIMS2 PSEN1 CPLX1 RIMS4 SLC4A8 SYT4 ATP2A2 SYT9 SNAPIN PFN2 PCLO STX19 STXBP5 PIP5K1C PRKCG STX3 GIT1 HTR1B ERC2 P2RX7 FBXO45 NLGN1 RAB5A BLOC1S6 SNCA SNAP25 SNAP23 P2RX1 SV2B SNAP47 P2RY1 STX2 PRKCB	96	synaptic vesicle exocytosis	PPFIA2 STX19 DOC2B RIMS3 FBXO45 BRAF SLC4A8 SV2B SV2C ATP2A2 RIMS1 SYNJ1 SNAP23 RPH3A SNAP29 SYT12 RAP1B SYT11 UNC13C CADPS2 UNC13A SNAPIN SYT10 CPLX4 FMR1 OTOF SYT8 SNAP47 SYT2 BLOC1S6 CASK VAMP2 CSPG5 VPS18 PRKCB LRRK2 P2RY1 CPLX1 STX3 RIMS2 WNT7A STXBP1 PCLO RIMS4 SYT1 STX1B SV2A RAB3A ACOX3 SAMD10 FOXJ1 CRISPLD2 MSMB TMEM88B PPIG INTS5 SLC25A40 USB1 VCPKMT GSTA3 TMEM214 ING5 MYOT TAS2R31 BEX3 MRPL32 CMTM8 PDCD7 CADM4 ALPK3 RBIS CRYBA4 CD160 TXNRD3 RBMXL3 IL18BP APOBEC2 CDK18 KLHL1 FIRRM PUM2 NHSL3 FCN3 CD180 PITPNM1 MRPS18B ABCC1 PRSS37 CADM3 CCN6 TAFA5 NDUFAF1 REV3L KCNQ2 PPP2R5A CLCA4	ZNF646 PDHX FEZF2 DCAF6 SOS2 FBXW2 TRIP10 PDF BTBD2 LRGUK BMP7 DNAJC10 FNIP2 NDUFA8 MED22 MBP GFOD2 CMIP OR1J2 GRXCR2 SLC41A3 TGIF2LX SCRT2 CHEK2 FAS ISL1 ZNF44 DYNLRB1 TNRC6A ABR ASTL FAM50B ACP2 ACADL CETN2 MCM9 HSPBP1 MOSPD3 THAP9 RAPGEF2 CRBN F11 MRPL52 TMEM131 SEC14L1 ZNF45 STMN3 KCNA4 TCP11L2 DDA1 GNA15 ZIM2 TAFA3 PYROXD1 CENPX EEF2K OAS1 TKT ULK2 JCAD KCNA6 GYS2 PYGB OSMR KLHDC1 SPTLC2 DNAJA4 TRIL PRKAB2 KERA ANK2 LILRB1 AGPAT4 UBTF GPBP1L1 ZNF449 HSP90AB1 DNAJB8 FAM209B TMC6 KDM4A BUB1 GATM TYW1 CCS SP140 ZFP1 C1GALT1C1L SSC5D HACL1 FGF17 UBE2L6 CNR1 PRM2 PLSCR5 C15orf48	GO:0016079	synaptic vesicle exocytosis	2.3190229828637842e-253	96/96	SNAP23,ATP2A2,GRIK5,ERC2,SYT10,CPLX3,CPLX1,SV2A,SNAP25,STX11,NAPB,PFN2,TPRG1L,SYT8,RPH3A,HTR1B,SYN1,PIP5K1C,RIMS4,STX1B,SV2C,P2RX7,FBXL20,VPS18,SYT11,SYT4,CADPS,CDK5,P2RY4,SCRIB,SNCA,SYT5,FBXO45,FMR1,PREPL,WNT7A,SYNJ1,CSPG5,RAB3A,DVL1,SLC4A8,STX19,SYT2,OTOF,NLGN1,CACNB4,STXBP5,SYT7,SYT1,CPLX2,SEPTIN5,STXBP1,VAMP2,CADPS2,CPLX4,SNPH,PRKCG,RIMS1,BLOC1S6,PSEN1,PCLO,SYT9,STX1A,DOC2A,RAB5A,RAP1A,DTNBP1,SYP,DOC2B,UNC13A,P2RY1,SNAP29,SNAP47,DNAJC5,P2RX1,PRRT2,UNC13C,BRAF,RIMS3,CTBP2,STX3,GIT1,RAB3GAP1,RIMS2,RAP1B,LRRK2,CASK,PPFIA3,SYT12,NAPA,STX2,SV2B,PRKCB,PPFIA2,UNC13B,SNAPIN	GO:0016079	synaptic vesicle exocytosis	8.985374409313443e-84	48/96	SNAP23,SYT2,DOC2B,OTOF,UNC13A,P2RY1,ATP2A2,SNAP29,SYT10,SNAP47,SYT1,UNC13C,CPLX1,STXBP1,VAMP2,BRAF,CADPS2,RIMS3,SV2A,STX3,FBXO45,CPLX4,RIMS2,RAP1B,LRRK2,FMR1,RIMS1,CASK,BLOC1S6,WNT7A,SYT8,SYNJ1,SYT12,CSPG5,RPH3A,PCLO,RIMS4,SV2B,STX1B,RAB3A,SV2C,PRKCB,PPFIA2,VPS18,SLC4A8,SYT11,STX19,SNAPIN	GO:0034440	lipid oxidation	0.4316069242476056	3/113	ACADL,CNR1,HACL1
GO:0048294	NDFIP1 BCL6 FOXP3	3	negative regulation of isotype switching to IgE isotypes	FOXP3 RBMY1E SERPINA9	MINAR1 SREK1 TLN1	GO:0048294	negative regulation of isotype switching to IgE isotypes	8.016871231585343e-10	3/3	NDFIP1,FOXP3,BCL6	GO:2000320	negative regulation of T-helper 17 cell differentiation	0.0272364282639736	1/10	FOXP3	GO:0150116	regulation of cell-substrate junction organization	0.1821746233902364	1/68	TLN1
GO:0021855	FOXB1 NDNF NRP1 NRP2 SEMA3E PLXNA1 PLXNA3	7	hypothalamus cell migration	PLXNA1 NRP1 FOXB1 OST4 XKR4 TFDP2 PPP2R3B	NYAP2 ANAPC5 PLA2G4F BCO2 PRRT2 LCN1 DPY19L4	GO:0021855	hypothalamus cell migration	7.845118980364425e-24	7/7	SEMA3E,PLXNA3,PLXNA1,NDNF,NRP1,NRP2,FOXB1	GO:0021855	hypothalamus cell migration	9.560582784090238e-07	3/7	NRP1,PLXNA1,FOXB1	GO:1901825	zeaxanthin metabolic process	0.0516178227108263	1/2	BCO2
